 variable,  slope,  intercept,  r_value,  r_squared,  p_value,  std_err 
In_cloud_rain_mmr_at_14km_all_HM_on_off,4.3330052639879694e-15,7.300084014378162e-15,0.0633824783447951,0.00401733856112842,0.8619064879714722,2.412131029629559e-14
In_cloud_ice_crystal_mmr_at_3km_HM_on,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_mmr_at_3km_HM_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_mmr_at_3km_all_HM_on_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_mmr_at_4km_HM_on,1.4008856338549749e-16,4.9940738840370833e-17,0.49445969067691664,0.24449038570431209,0.39712251082372596,1.4217759350033439e-16
In_cloud_ice_crystal_mmr_at_4km_HM_off,5.429768214533034e-16,1.8527950458663813e-16,0.47508964591050035,0.2257101716513646,0.4186929019092167,5.806265290353196e-16
In_cloud_ice_crystal_mmr_at_4km_all_HM_on_off,3.4153269241940056e-16,1.1761012336786572e-16,0.3983920844750233,0.1587162529723541,0.2541615139178412,2.780019464894744e-16
In_cloud_ice_crystal_mmr_at_5km_HM_on,3.819849275646141e-07,1.620671173177103e-07,0.5229569516882022,0.2734839733190167,0.365886264848316,3.594531207708952e-07
In_cloud_ice_crystal_mmr_at_5km_HM_off,3.39525972735396e-07,1.1595790640715707e-07,0.47530117837595687,0.22591121016557317,0.41845592243229635,3.628598133546133e-07
In_cloud_ice_crystal_mmr_at_5km_all_HM_on_off,3.6075545015000506e-07,1.3901250830972002e-07,0.49048127281602294,0.24057187898322593,0.1500652235938799,2.2661508430725375e-07
In_cloud_ice_crystal_mmr_at_6km_HM_on,8.993475789505496e-07,1.9470796359720536e-06,0.7670284014547132,0.5883325686381726,0.13016584223726332,4.3433892492863067e-07
In_cloud_ice_crystal_mmr_at_6km_HM_off,7.036157999826981e-07,2.4260873048710474e-07,0.4908552863899054,0.24093891217691604,0.40111619682071054,7.21040812521423e-07
In_cloud_ice_crystal_mmr_at_6km_all_HM_on_off,8.014816894666238e-07,1.0948442009931477e-06,0.12849202708450816,0.016510201024285978,0.7235185272273974,2.187043195559759e-06
In_cloud_ice_crystal_mmr_at_8km_HM_on,-2.1035587971766974e-06,1.1719938348899289e-06,-0.5416082717884001,0.29333952006961744,0.34578290567021114,1.8850120974043281e-06
In_cloud_ice_crystal_mmr_at_8km_HM_off,-1.7506238303240193e-05,-1.389704552759753e-06,-0.9166523499474742,0.8402515306642268,0.02852124371119225,4.407028968798721e-06
In_cloud_ice_crystal_mmr_at_8km_all_HM_on_off,-9.804898550208445e-06,-1.0885541577833103e-07,-0.7057707998996058,0.49811242199092937,0.022571286027858958,3.4796667091491144e-06
In_cloud_ice_crystal_mmr_at_10km_HM_on,-0.00013688492921876813,-5.7604189746481025e-06,-0.9938542627526087,0.9877462955915314,0.0005778220046016046,8.802499386581432e-06
In_cloud_ice_crystal_mmr_at_10km_HM_off,-0.00021186911640653768,-2.5519949702143083e-06,-0.9860108386187387,0.9722173738736284,0.0019820196885525754,2.0678164523823826e-05
In_cloud_ice_crystal_mmr_at_10km_all_HM_on_off,-0.00017437702281265292,-4.156205153441807e-06,-0.9075047699202216,0.8235649074279543,0.0002860336916687918,2.8535654198904416e-05
In_cloud_ice_crystal_mmr_at_12km_HM_on,-0.00014775818329913572,5.807651594043879e-06,-0.996611882170225,0.9932352436828784,0.00023661963310910814,7.040296230438935e-06
In_cloud_ice_crystal_mmr_at_12km_HM_off,-0.00019437147948930548,1.5215216900943098e-05,-0.9927209850369161,0.985494954132665,0.0007446771401116495,1.3614580487378652e-05
In_cloud_ice_crystal_mmr_at_12km_all_HM_on_off,-0.0001710648313942206,1.0511434247493481e-05,-0.9169720772502499,0.8408377904566382,0.00018790305250531307,2.63135600238698e-05
In_cloud_ice_crystal_mmr_at_14km_HM_on,-8.901525706684681e-05,1.2784197503478668e-05,-0.9617233894263781,0.924911877769761,0.008937678916242111,1.464331033882743e-05
In_cloud_ice_crystal_mmr_at_14km_HM_off,-6.813720366079767e-05,2.7907001666718286e-05,-0.921509092763043,0.8491790080449667,0.026084498369643598,1.6578870927185415e-05
In_cloud_ice_crystal_mmr_at_14km_all_HM_on_off,-7.857623036382226e-05,2.0345600494593174e-05,-0.8454064388634271,0.7147120468717416,0.002064499942141226,1.7551828302148077e-05
In_cloud_snow_mmr_at_3km_HM_on,9.624771105618806e-12,8.046992361817541e-12,0.6196332673797051,0.38394538604364914,0.2649459250654651,7.038897862698918e-12
In_cloud_snow_mmr_at_3km_HM_off,-8.036718283908054e-12,4.935233803922723e-12,-0.6191746553129026,0.3833772537818518,0.26540434692304576,5.884569780034823e-12
In_cloud_snow_mmr_at_3km_all_HM_on_off,7.940264108553755e-13,6.491112649189262e-12,0.05521911193024433,0.0030491503223648514,0.8795758316962068,5.076184642036969e-12
In_cloud_snow_mmr_at_4km_HM_on,7.2731096686139504e-09,1.9935455646460683e-08,0.3680238696854275,0.13544156865823653,0.5422210825519569,1.0609152606924775e-08
In_cloud_snow_mmr_at_4km_HM_off,-3.9970253257269924e-08,1.077755884660634e-07,-0.16337849814279728,0.026692533655396016,0.7929092064884888,1.3934981632932187e-07
In_cloud_snow_mmr_at_4km_all_HM_on_off,-1.6348571794327985e-08,6.385552649715414e-08,-0.04130281626443654,0.0017059226313738036,0.909804061682552,1.3982486453509677e-07
In_cloud_snow_mmr_at_5km_HM_on,-4.677550592417293e-05,0.00014301147894584969,-0.5755582196516301,0.3312672642085541,0.30993245972254235,3.837027371710449e-05
In_cloud_snow_mmr_at_5km_HM_off,-8.804661791597696e-05,0.00011114098140129946,-0.7621839582841274,0.5809243862656606,0.1341411700691488,4.3175605998422835e-05
In_cloud_snow_mmr_at_5km_all_HM_on_off,-6.741106192007494e-05,0.0001270762447254898,-0.5093526720457254,0.2594401445201203,0.13264325128789847,4.026685114898886e-05
In_cloud_snow_mmr_at_6km_HM_on,-6.952713451417005e-05,0.00017086211739684537,-0.6508124985732883,0.42355690829920634,0.2342890182155227,4.682912445578397e-05
In_cloud_snow_mmr_at_6km_HM_off,-0.00013575664359424745,0.00011964277724004571,-0.7847086746245061,0.615767704030949,0.11596480085516467,6.191401158483448e-05
In_cloud_snow_mmr_at_6km_all_HM_on_off,-0.00010264188905420873,0.00014525244731844553,-0.5121366030281608,0.26228390016122394,0.13018409029144823,6.0860912161168616e-05
In_cloud_snow_mmr_at_8km_HM_on,2.1166373244768968e-05,0.0002470804910927981,0.4048885716274982,0.16393475543455574,0.49893356167492103,2.7597541130002126e-05
In_cloud_snow_mmr_at_8km_HM_off,-7.935192692692692e-05,0.00016782047146209444,-0.6963892708367463,0.4849580165365352,0.19141165795079307,4.7213488915762446e-05
In_cloud_snow_mmr_at_8km_all_HM_on_off,-2.9092776841078964e-05,0.0002074504594495734,-0.12386904631624204,0.015343540635295316,0.7331558662472784,8.239858530093022e-05
In_cloud_snow_mmr_at_10km_HM_on,0.00012799964118612793,0.00016570699662628202,0.9234235288979458,0.8527110137223353,0.025143426894169773,3.071371324495988e-05
In_cloud_snow_mmr_at_10km_HM_off,5.698865075176903e-05,9.746586039995823e-05,0.5874495297762731,0.34509695003436436,0.2976151791682357,4.532582247597363e-05
In_cloud_snow_mmr_at_10km_all_HM_on_off,9.249414596894848e-05,0.00013158643578907773,0.39910260236420453,0.15928288721388034,0.25323700328224125,7.512935103107814e-05
In_cloud_snow_mmr_at_12km_HM_on,8.312197949703157e-05,7.258657362818708e-05,0.8868947018446053,0.7865822121600313,0.044879653598559485,2.4997610466108567e-05
In_cloud_snow_mmr_at_12km_HM_off,3.8953218699967585e-05,3.461320548787999e-05,0.725913434801616,0.5269503148254799,0.16498741762085084,2.1308420893118108e-05
In_cloud_snow_mmr_at_12km_all_HM_on_off,6.103759909849959e-05,5.359988955803354e-05,0.4640718338278475,0.2153626669523413,0.17666795557548,4.1190941864810466e-05
In_cloud_snow_mmr_at_14km_HM_on,2.5227639391220112e-05,1.793255226232248e-05,0.7585653224844695,0.5754213484759673,0.1371335904432227,1.2511289649592193e-05
In_cloud_snow_mmr_at_14km_HM_off,4.028660517255727e-06,5.289061431765375e-06,0.3608809444511383,0.13023505606794555,0.5506902014549979,6.0108659661691685e-06
In_cloud_snow_mmr_at_14km_all_HM_on_off,1.4628149954237918e-05,1.1610805937549223e-05,0.3687251488449747,0.13595823539074875,0.29441968756149584,1.3037941202579496e-05
In_cloud_graupel_mmr_at_3km_HM_on,9.95527646906365e-08,4.1543919663994145e-07,0.3135517265490426,0.09831468522188559,0.6074152094735494,1.740648177833049e-07
In_cloud_graupel_mmr_at_3km_HM_off,5.195134428575893e-07,8.668720678033712e-07,0.30499066199841024,0.09301930390622852,0.6177810580179134,9.365881134250606e-07
In_cloud_graupel_mmr_at_3km_all_HM_on_off,3.0953310377411286e-07,6.41155646432511e-07,0.16984978417777893,0.028848949185238084,0.6389880604635867,6.349514245219707e-07
In_cloud_graupel_mmr_at_4km_HM_on,5.934624319547937e-06,1.3191117260893527e-05,0.7589838174333228,0.5760564351256594,0.13678652053977805,2.9393690166606256e-06
In_cloud_graupel_mmr_at_4km_HM_off,2.4748935234077404e-05,1.7653040521503394e-05,0.9105608525453148,0.8291210661880506,0.031674623057261306,6.486810032328317e-06
In_cloud_graupel_mmr_at_4km_all_HM_on_off,1.534177977681267e-05,1.542207889119846e-05,0.7600850272209341,0.577729248605448,0.010724516136498568,4.637288055241516e-06
In_cloud_graupel_mmr_at_5km_HM_on,2.0791297960004412e-05,7.237475283015864e-05,0.9067883698966981,0.822265147779911,0.03367997501452126,5.5808626244286005e-06
In_cloud_graupel_mmr_at_5km_HM_off,0.00010179542906195283,6.452041865715767e-05,0.8086910298492804,0.6539811817586898,0.09751335066625183,4.274987835610198e-05
In_cloud_graupel_mmr_at_5km_all_HM_on_off,6.129336351097863e-05,6.844759301961577e-05,0.48745799868377837,0.2376153004807945,0.1529787809097936,3.8816676257399264e-05
In_cloud_graupel_mmr_at_6km_HM_on,2.8192269231197724e-05,8.54920732990206e-05,0.7207090456103697,0.51942152842461,0.16956309449467433,1.5656388514619006e-05
In_cloud_graupel_mmr_at_6km_HM_off,0.0001153759270798784,6.957711383063436e-05,0.7388432399087431,0.5458893331588486,0.15377833614492803,6.0755153714471304e-05
In_cloud_graupel_mmr_at_6km_all_HM_on_off,7.178409815553806e-05,7.753459174583807e-05,0.43152871553953637,0.1862170323352021,0.21304456537637143,5.30551873473884e-05
In_cloud_graupel_mmr_at_8km_HM_on,6.590627044754029e-05,9.774869759866674e-05,0.8833620434849966,0.780328499869989,0.04697272379413831,2.0188973233984966e-05
In_cloud_graupel_mmr_at_8km_HM_off,0.00014211811253611576,8.812544210546212e-05,0.9017667123395983,0.8131832034837677,0.0364096788031138,3.9328063658404543e-05
In_cloud_graupel_mmr_at_8km_all_HM_on_off,0.000104012191491828,9.293707530903263e-05,0.6804960931539054,0.46307493279772866,0.030332264249749327,3.959774524676418e-05
In_cloud_graupel_mmr_at_10km_HM_on,5.736598916165047e-05,5.625580607726224e-05,0.9153206630245561,0.837811916159713,0.029201514402640884,1.4572365786619083e-05
In_cloud_graupel_mmr_at_10km_HM_off,8.755271282112011e-05,5.156569056647687e-05,0.8924588206698048,0.7964827465913388,0.04164505133963707,2.555179473976574e-05
In_cloud_graupel_mmr_at_10km_all_HM_on_off,7.245935099138528e-05,5.3910748321869555e-05,0.7954991943107317,0.6328189681490233,0.005929293359989371,1.9514158186107198e-05
In_cloud_graupel_mmr_at_12km_HM_on,3.6161659815034344e-05,3.0230443268233256e-05,0.9302785905481531,0.8654182560322583,0.0218669526893714,8.233183189531367e-06
In_cloud_graupel_mmr_at_12km_HM_off,4.282305732746872e-05,2.5645591155875312e-05,0.9031296310899783,0.8156431305527204,0.03566210644838245,1.1754295751879827e-05
In_cloud_graupel_mmr_at_12km_all_HM_on_off,3.949235857125153e-05,2.793801539306488e-05,0.8153079524912988,0.664727057395554,0.004046917726746177,9.916208566983836e-06
In_cloud_graupel_mmr_at_14km_HM_on,1.938823817077692e-05,1.3927806661707604e-05,0.8856808689441842,0.7844306016137251,0.045595427697480984,5.868052756846192e-06
In_cloud_graupel_mmr_at_14km_HM_off,1.5527655146984493e-05,1.0659550240765653e-05,0.9759416260454852,0.9524620574483056,0.0044633379526971126,2.002818519907348e-06
In_cloud_graupel_mmr_at_14km_all_HM_on_off,1.7457946658880706e-05,1.2293679360731332e-05,0.8226707615115947,0.6767871818460671,0.0034718457924773957,4.265465113984e-06
In_cloud_ice_div_SandG_at_3km_HM_on,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_div_SandG_at_3km_HM_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_div_SandG_at_3km_all_HM_on_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_div_SandG_at_4km_HM_on,1.982373103479835e-11,6.89019555975464e-12,0.4842445633996318,0.2344927971821,0.40846504495596725,2.0679243941736234e-11
In_cloud_ice_div_SandG_at_4km_HM_off,4.4297806019914624e-11,1.51157011089908e-11,0.4750896459105003,0.22571017165136453,0.4186929019092167,4.7369390988699696e-11
