"variable, slope, intercept, r_value, r_squared, p_value, std_err"
Domain_cloud_fraction_at_3km_HM_on,0.23474456767876573,2.1447973543903,0.26346301497389074,0.06941276025913258,0.6684706833138707,0.49624233613557817
Domain_cloud_fraction_at_3km_HM_off,0.5528842111991039,1.9049158620680058,0.74976749671453,0.5621512991295728,0.14448945883988218,0.2817143592433473
Domain_cloud_fraction_at_3km_all_HM_on_off,0.3938143894389348,2.0248565486245083,0.28592769059084994,0.08175464424661681,0.4232085142994536,0.4666268672763568
Domain_cloud_fraction_at_4km_HM_on,0.7842336333015577,5.809038988864829,0.4937848636793697,0.24382349159885372,0.3978695070384975,0.7973677274391381
Domain_cloud_fraction_at_4km_HM_off,1.9675531203690726,5.353653546197923,0.9223056751458144,0.8506477584061766,0.025691571688767078,0.47598890602913324
Domain_cloud_fraction_at_4km_all_HM_on_off,1.3758933768353152,5.581346982787114,0.4372656794097963,0.19120127438971077,0.206343053185147,1.0004943131547932
Domain_cloud_fraction_at_5km_HM_on,8.644464448063198,19.063469664500776,0.889953207569533,0.7920167116633003,0.04309213390227906,2.5575522364271586
Domain_cloud_fraction_at_5km_HM_off,10.760906965766894,18.621248811534493,0.9498121126054875,0.9021430492520992,0.013394777527469452,2.0461920128117344
Domain_cloud_fraction_at_5km_all_HM_on_off,9.702685706915048,18.842357330669003,0.8810740382768982,0.7762914609255611,0.0007563438972502455,1.8415174842105866
Domain_cloud_fraction_at_6km_HM_on,6.643355778355075,18.893288798141995,0.9182592957313312,0.8432001341970005,0.02770726062167208,1.6539957670190102
Domain_cloud_fraction_at_6km_HM_off,10.608327170709353,19.64990725587365,0.9744188732698923,0.9494921405845664,0.004892601615882792,1.4126028311492433
Domain_cloud_fraction_at_6km_all_HM_on_off,8.625841474532216,19.271597073333506,0.9331835601196912,0.8708315568776612,8.040017497060975e-05,1.1745394606417705
Domain_cloud_fraction_at_8km_HM_on,-3.445179135966177,13.7046592499193,-0.6063236749060357,0.36762839875156,0.27833493605337356,2.608752233643774
Domain_cloud_fraction_at_8km_HM_off,-2.1262091818522033,13.956369032166233,-0.36853995021753744,0.13582169490634496,0.5416101728275156,3.0964385716379894
Domain_cloud_fraction_at_8km_all_HM_on_off,-2.78569415890919,13.830514141042766,-0.48650472185165244,0.2366868443839537,0.1539045083551417,1.768694209738701
Domain_cloud_fraction_at_10km_HM_on,-10.941364097582797,13.895937825672869,-0.9484005320842871,0.8994635692577588,0.013960836649607119,2.111936156646895
Domain_cloud_fraction_at_10km_HM_off,-5.824582637958844,15.583807839475826,-0.7728418203682855,0.5972844793101653,0.12544258178651108,2.761294659929828
Domain_cloud_fraction_at_10km_all_HM_on_off,-8.382973367770822,14.739872832574347,-0.8337399233638688,0.6951222598107899,0.0027210977650027534,1.9628420497148686
Domain_cloud_fraction_at_12km_HM_on,-11.361317331902338,16.39434588462427,-0.9717893568024387,0.9443745539944975,0.005663788233263327,1.5919619293971847
Domain_cloud_fraction_at_12km_HM_off,-0.5070854409536878,19.924936957635342,-0.04582127707605604,0.0020995894328806985,0.9416789599904625,6.382589680903611
Domain_cloud_fraction_at_12km_all_HM_on_off,-5.934201386428011,18.159643328478438,-0.47609643976450333,0.22666781995643534,0.1642322920388611,3.8753005912816154
Domain_cloud_fraction_at_14km_HM_on,-1.9625057435010083,9.968252783081244,-0.34517129251942624,0.11914322117953131,0.5694042312924197,3.080833944806834
Domain_cloud_fraction_at_14km_HM_off,8.752626242169438,12.95574834390322,0.5282093318506472,0.2790050982541072,0.3601969061583258,8.1233989668662
Domain_cloud_fraction_at_14km_all_HM_on_off,3.395060249334215,11.46200104032939,0.2654114829306726,0.07044325527145873,0.4586112422719669,4.3603438350651285
