PER METRE SQUARED,,ns,ns,,,,,,,,
T,,Niemand,Atkinson,A/10,A/100,A/4,A/50,A/5,N/10,Niemand temp,Atkintemp 
-36,237.15,918492889366.462,4.33741645534295E+016,4.33741645534295E+015,433741645534295,1.08435411383574E+016,867483291068589,8.67483291068589E+015,91849288936.6462,-36,
-30,243.15,41294700025.5751,85594348266821.8,8559434826682.18,855943482668.218,21398587066705.4,1711886965336.44,17118869653364.4,4129470002.55751,-30,
-25,248.15,3113458490.23296,476932291861.354,47693229186.1354,4769322918.61354,119233072965.338,9538645837.22708,95386458372.2708,311345849.023296,-25,-25
-20,253.15,234742564.164411,2657469980.50688,265746998.050688,26574699.8050688,664367495.12672,53149399.6101376,531493996.101376,23474256.4164411,-20,-20
-12,261.15,3752752.01701952,657789.580030014,65778.9580030014,6577.8958003002,164447.395007504,13155.7916006003,131557.916006003,375275.201701952,-12,-12
-10,263.15,,82507.1612821999,8250.71612822,825.071612822,20626.79032055,1650.143225644,16501.43225644,,,-10
-5.15,268,,537.1838344593,53.7183834459,5.3718383446,134.2959586148,10.7436766892,107.4367668919,,,-5.15
