Flight/sample#,,20150820_b928_filter2_397l,,,,,,,,,,,
Total flow (litres),,,397,,,,,,,,,,
Total area (um2/cm3),,,203.5586215548,22.7643470227,,,,,,,,,
Area for d>0.5um (um2/cm3),,,166.3118636298,22.6835898749,,,,,,,,,
Total number (um2/cm3),,,341.9107637453,24.2853265627,,,,,,,,,
Number for d>0.5um (um2/cm3),,,15.4706014937,0.5471386436,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.84,0.0107526882,9410.0409307373,2.96E+01,0.0108109161,0.0005,0.0179,0.0103109161,0.0070890839,33.5664482962,23.8788447105,145650.282650434,1.18E+05,165700.704287096
-12.91,0.0215053763,20303.1835382927,6.40E+01,0.0217399866,0.0127,0.0306,0.0090399866,0.0088600134,33.1608145625,32.6750597871,314256.27612273,1.64E+05,166653.193186823
-13.7,0.0322580645,30877.7013581011,9.73E+01,0.0327898228,0.0234,0.0431,0.0093898228,0.0103101772,39.1319348989,41.3677994546,477930.53861358,2.10E+05,199530.859244065
-13.83,0.0430107527,41958.9283296309,1.32E+02,0.0439631234,0.0346,0.0564,0.0093631234,0.0124368766,45.2727739163,52.1038542162,649447.735233305,2.66E+05,233965.057495612
-14.15,0.0537634409,53012.5066076724,1.67E+02,0.0552626787,0.0452,0.0702,0.0100626787,0.0149373213,53.5599871496,63.8626525294,820536.980470977,3.27E+05,278660.211342779
-14.32,0.064516129,64298.4735960701,2.03E+02,0.0666913745,0.0564,0.0833,0.0102913745,0.0166086255,61.362404777,73.8395724482,995223.179387945,3.79E+05,321338.24528262
-14.36,0.0752688172,75824.4177326319,2.39E+02,0.0782521969,0.0669,0.0942,0.0113521969,0.0159478031,70.8218779929,79.1276316305,1173623.78717062,4.10E+05,371851.72148892
-14.72,0.0860215054,87182.7639197194,2.75E+02,0.0899482367,0.0774,0.1091,0.0125482367,0.0191517633,80.6220696313,92.6172651794,1349430.28416331,4.79E+05,423839.183777285
-14.86,0.0967741935,98873.551666305,3.12E+02,0.1017826943,0.0897,0.1232,0.0120826943,0.0214173057,88.151122739,104.2827497082,1530382.37058139,5.40E+05,465642.963482975
-14.88,0.1075268817,110828.617980642,3.49E+02,0.1137588854,0.0989,0.1359,0.0148588854,0.0221411146,100.4401664457,112.9733879474,1715425.00754805,5.87E+05,529402.402781027
-14.88,0.1182795699,122949.978512987,3.87E+02,0.1258802459,0.1118,0.1499,0.0140802459,0.0240197541,107.874841019,124.081805933,1903041.57591781,6.46E+05,571081.60990465
-14.9,0.1290322581,135198.792975229,4.26E+02,0.1381503385,0.1232,0.1653,0.0149503385,0.0271496615,117.7477819785,137.7061009916,2092630.8988219,7.16E+05,623992.884525667
-14.92,0.1397849462,147599.880333127,4.65E+02,0.1505728585,0.1326,0.1779,0.0179728585,0.0273271415,130.5408962483,145.7651814752,2284577.12861465,7.60E+05,690313.154365517
-14.92,0.1505376344,160178.662539987,5.05E+02,0.1631516407,0.1427,0.1914,0.0204516407,0.0282483593,142.8089506939,155.4467292358,2479273.75079862,8.12E+05,754362.710542801
-15.1,0.1612903226,172717.653709415,5.44E+02,0.1758906665,0.1536,0.206,0.0222906665,0.0301093335,154.3053456649,166.964724061,2673354.48024719,8.73E+05,814864.262965195
-15.14,0.1720430108,185574.809585314,5.85E+02,0.1887940713,0.1653,0.2217,0.0234940713,0.0329059287,165.010406601,180.2719580945,2872359.81945762,9.42E+05,871952.795865333
-15.29,0.1827956989,198467.373011654,6.25E+02,0.2018661529,0.1779,0.2385,0.0239661529,0.0366338471,174.8339676369,195.4162492865,3071913.20301427,1.02E+06,925043.846214446
-15.31,0.1935483871,211687.91952985,6.67E+02,0.2151113796,0.1868,0.2567,0.0283113796,0.0415886204,190.2418256333,213.0845064198,3276543.1670433,1.11E+06,1003845.09388368
-15.52,0.2043010753,224840.724607808,7.08E+02,0.2285343999,0.201,0.2696,0.0275343999,0.0410656001,198.4815131751,220.4757717694,3480124.61704454,1.15E+06,1049860.28682874
-15.54,0.2150537634,238419.555048893,7.51E+02,0.242140052,0.2111,0.2831,0.031040052,0.040959948,212.9339666939,228.9783186712,3690300.16318336,1.20E+06,1124522.76704017
-15.92,0.2258064516,251664.597913538,7.93E+02,0.2559333741,0.2217,0.3046,0.0342333741,0.0486666259,227.160929043,251.9522268035,3895309.28600781,1.31E+06,1197958.92646053
-15.94,0.2365591398,265619.842179896,8.37E+02,0.2699196161,0.2328,0.3199,0.0371196161,0.0499803839,241.1103924289,263.1619146197,4111311.03210135,1.37E+06,1270581.81884567
-15.97,0.247311828,279757.558055617,8.81E+02,0.2841042511,0.2505,0.3359,0.0336042511,0.0517957489,245.8889878517,275.4696825715,4330137.10613086,1.44E+06,1301400.38497443
-15.99,0.2580645161,294114.732006498,9.27E+02,0.2984929886,0.2631,0.3528,0.0353929886,0.0543070114,258.4601764776,289.212230822,4552359.99117452,1.51E+06,1367970.14967059
-16.1,0.2688172043,308535.790342314,9.72E+02,0.313091788,0.2696,0.3705,0.043491788,0.057408212,280.3421965625,304.1889786082,4775571.6900598,1.59E+06,1477131.79660234
-16.13,0.2795698925,323301.161099182,1.02E+03,0.3279068738,0.2831,0.389,0.0448068738,0.0610931262,292.4706530077,320.4065300883,5004112.71767123,1.67E+06,1541925.62068978
-16.15,0.2903225806,338305.594092188,1.07E+03,0.3429447511,0.2973,0.3987,0.0456447511,0.0557552489,304.051149086,320.3503091312,5236353.99297774,1.68E+06,1604366.83490231
-16.27,0.3010752688,353367.237840411,1.11E+03,0.3582122233,0.3122,0.4186,0.0460122233,0.0603877767,315.140351648,338.3746355686,5469480.78650135,1.77E+06,1664606.75156733
