0,1,2,3,4,5,6,7
1,time,"T (K)",TC,"RHw (%)","RHi (%)","ns (m^2)","dns (m^2)"
2,"2014/08/20 04:31:00",239.756595841305,-33.3934041586949,103.817139961413,143.719498573572,8655701562.01138,1737451274.6946
3,"2014/08/27 02:47:30",239.741671363813,-33.408328636187,103.900521700789,143.855541956485,2453649965.56243,499760808.082314
4,"2014/08/19 12:59:00",247.738881314162,-25.4111186858375,104.228732279652,133.576350258856,642758890.077175,132628362.055364
5,"2014/08/27 04:49:00",247.739611976173,-25.4103880238271,104.345960445853,133.725819673483,186170813.753164,49023672.3107053
