Flight/sample#,,20150812_b922_filter4_068l,,,,,,,,,,,
Total flow (litres),,,68,,,,,,,,,,
Total area (um2/cm3),,,511.214803459,73.1749003102,,,,,,,,,
Area for d>0.5um (um2/cm3),,,483.0648489787,73.1744340859,,,,,,,,,
Total number (um2/cm3),,,41.7786131218,13.5841677208,,,,,,,,,
Number for d>0.5um (um2/cm3),,,1.5885679611,3.1117392658,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-15.87,0.0120481928,7929.1044320617,1.46E+02,0.0121213605,0.0005,0.0202,0.0116213605,0.0080786395,220.8082479155,158.5605308189,285306.477019395,3.13E+05,433854.842612202
-18.18,0.0240963855,14722.5820790047,2.71E+02,0.0243914531,0.0143,0.0337,0.0100914531,0.0093085469,216.4306784736,204.2132822054,529750.624623507,4.07E+05,430102.539217188
-18.75,0.0361445783,24930.8821712521,4.59E+02,0.0368139731,0.0264,0.0487,0.0104139731,0.0118860269,254.7682755889,275.7067677928,897067.534197694,5.54E+05,514635.06367709
-19.01,0.0481927711,36337.7078413448,6.68E+02,0.0493927553,0.039,0.0637,0.0103927553,0.0143072447,295.5161903697,346.4756037896,1307510.00898073,7.03E+05,607608.698734964
-19.12,0.0602409639,48546.7467887534,8.93E+02,0.0621317811,0.0511,0.0794,0.0110317811,0.0172682189,348.6198602894,425.7390663439,1746817.8677337,8.70E+05,726337.865184694
-19.16,0.0722891566,61252.139905968,1.13E+03,0.0750351859,0.0637,0.0919,0.0113351859,0.0168648141,400.8423942352,461.9927563081,2203985.63245142,9.57E+05,845183.393277613
-19.4,0.0843373494,73074.0476840438,1.34E+03,0.0881072675,0.0756,0.1091,0.0125072675,0.0209927325,463.1658677242,557.410529757,2629363.66709713,1.15E+06,981073.563887774
-19.85,0.0963855422,83661.499228413,1.54E+03,0.1013524943,0.0875,0.1232,0.0138524943,0.0218475057,527.9746742526,612.6444642581,3010323.27314334,1.27E+06,1119068.56820645
-20.33,0.1084337349,93729.6940345761,1.72E+03,0.1147755146,0.0989,0.1393,0.0158755146,0.0245244854,599.5794210851,691.1768694613,3372598.88884544,1.44E+06,1268318.22560889
-20.52,0.1204819277,105837.88791292,1.95E+03,0.1283811666,0.1118,0.1536,0.0165811666,0.0252188334,660.3867028327,747.1798835798,3808278.12199181,1.56E+06,1402103.2896612
-20.54,0.1325301205,119467.512080409,2.20E+03,0.1421744888,0.1232,0.1694,0.0189744888,0.0272255112,736.6045116559,819.493098826,4298701.73636632,1.72E+06,1566772.21677741
-21.25,0.1445783133,126803.938364094,2.33E+03,0.1561607308,0.1359,0.1868,0.0202607308,0.0306392692,804.0637066234,908.4405485645,4562682.36051437,1.89E+06,1703053.79839154
-21.28,0.156626506,140668.232152938,2.59E+03,0.1703453657,0.1499,0.206,0.0204453657,0.0356546343,863.4048463615,1016.9425119497,5061549.89986248,2.12E+06,1837766.67784419
-21.3,0.1686746988,154841.469170121,2.85E+03,0.1847341032,0.1613,0.2217,0.0234341032,0.0369658968,946.6752143873,1082.9331746784,5571533.89061213,2.26E+06,2016242.31160312
-21.33,0.1807228916,169114.080286314,3.11E+03,0.1993329026,0.1736,0.2385,0.0257329026,0.0391670974,1025.2564411967,1160.2421043125,6085093.57825645,2.43E+06,2186508.0555002
