Flight/sample#,,20150824_b928_filter6_089l,,,,,,,,,,,
Total flow (litres),,,89,,,,,,,,,,
Total area (um2/cm3),,,687.9956771765,128.3886726228,,,,,,,,,
Area for d>0.5um (um2/cm3),,,636.1830985953,128.3886726228,,,,,,,,,
Total number (um2/cm3),,,390.9813974513,19.0316824993,,,,,,,,,
Number for d>0.5um (um2/cm3),,,71.8629040945,12.7314945393,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-11.88,0.0153846154,14514.3300492208,2.04E+02,0.0155041865,0.0006,0.0258,0.0149041865,0.0102958135,216.3258203959,154.461039802,296497.54770767,2.31E+05,319260.161017811
-15.28,0.0307692308,27866.036963066,3.92E+02,0.0312525435,0.0183,0.0441,0.0129525435,0.0128474565,212.138329231,210.8723194087,569245.125049635,3.24E+05,326128.154942592
-15.88,0.0461538462,43045.4352534133,6.05E+02,0.0472528849,0.0337,0.0637,0.0135528849,0.0164471151,251.80144424,283.8209939192,879328.632418106,4.44E+05,401095.361122022
-16.03,0.0615384615,59071.332911202,8.30E+02,0.0635134057,0.0499,0.0833,0.0136134057,0.0197865943,292.5871140493,355.4343602329,1206704.35966385,5.64E+05,481214.473657464
-16.1,0.0769230769,75486.7100387009,1.06E+03,0.0800427077,0.0653,0.1013,0.0147427077,0.0212572923,347.5000406283,408.7549132957,1542036.34167712,6.60E+05,581312.436482586
-16.7,0.0923076923,91189.3820542781,1.28E+03,0.096849826,0.0813,0.1232,0.015549826,0.026350174,402.1192453219,501.0851033699,1862809.24192728,8.07E+05,680042.877306063
-17.13,0.1076923077,107331.107236372,1.51E+03,0.1139442593,0.0965,0.1427,0.0174442593,0.0287557407,466.7090644935,566.6051971371,2192551.0843707,9.20E+05,792201.320053408
-17.62,0.1230769231,123440.254921946,1.73E+03,0.1313360021,0.1118,0.1653,0.0195360021,0.0339639979,533.773843699,661.349206031,2521627.43637841,1.07E+06,907391.778354369
-17.95,0.1384615385,140138.651007591,1.97E+03,0.1490355792,0.1263,0.1868,0.0227355792,0.0377644208,609.8440227492,742.6353955273,2862740.90653205,1.20E+06,1034945.29980943
-17.98,0.1538461538,158060.073265256,2.22E+03,0.1670540847,0.1427,0.206,0.0243540847,0.0389459153,675.3871564075,799.1203296624,3228838.25534607,1.31E+06,1151841.89664091
-18.07,0.1692307692,176111.559600894,2.48E+03,0.1854032233,0.1613,0.2271,0.0241032233,0.0416967767,729.593044379,872.3363429463,3597592.54251226,1.43E+06,1255108.77481568
-18.19,0.1846153846,194391.443555145,2.73E+03,0.2040953563,0.1736,0.2505,0.0304953563,0.0464046437,830.4699804288,965.05745982,3971012.51756011,1.59E+06,1416403.37764664
-18.42,0.2,212597.677528141,2.99E+03,0.2231435513,0.1914,0.2696,0.0317435513,0.0464564487,896.5938987191,1015.4513554431,4342927.97681171,1.68E+06,1534647.75891996
-18.46,0.2153846154,231862.049633434,3.26E+03,0.2425616372,0.206,0.2973,0.0365616372,0.0547383628,989.3098562787,1143.0362284438,4736458.99532773,1.88E+06,1687891.11488276
-18.59,0.2307692308,251149.463934113,3.53E+03,0.2623642645,0.2217,0.3199,0.0406642645,0.0575357355,1078.3196449885,1220.6664537872,5130460.7179274,2.02E+06,1836619.2131478
-18.79,0.2461538462,270510.676172626,3.80E+03,0.2825669718,0.2385,0.3442,0.0440669718,0.0616330282,1163.3794879517,1311.5642578626,5525969.9787682,2.17E+06,1980601.57954612
-18.83,0.2615384615,290954.234131006,4.09E+03,0.303186259,0.2567,0.3705,0.046486259,0.067313741,1242.3508454782,1418.3089688577,5943589.30949335,2.34E+06,2119188.03310327
-19.02,0.2769230769,311137.306836234,4.37E+03,0.3242396682,0.2762,0.3987,0.0480396682,0.0744603318,1316.3955171168,1540.1913601037,6355887.4687616,2.53E+06,2251182.00921779
-19.28,0.2923076923,331351.306342946,4.66E+03,0.3457458734,0.2901,0.4186,0.0556458734,0.0728541266,1436.5590585651,1581.2902082917,6768817.39820233,2.62E+06,2440374.93410838
-19.37,0.3076923077,352853.832026264,4.96E+03,0.3677247801,0.3122,0.4505,0.0555247801,0.0827752199,1500.5087467734,1730.8789321576,7208069.23504251,2.85E+06,2562428.0501734
-19.48,0.3230769231,374722.982173726,5.27E+03,0.390197636,0.3278,0.4731,0.062397636,0.082902364,1618.1815447889,1790.8103635783,7654810.4464649,2.97E+06,2751831.84965498
-19.54,0.3384615385,397372.939082849,5.58E+03,0.4131871542,0.3442,0.4968,0.0689871542,0.0836128458,1736.0506266272,1858.6881168233,8117501.91458402,3.10E+06,2943123.49940196
-19.67,0.3538461538,420141.940863961,5.90E+03,0.4367176516,0.3705,0.5346,0.0662176516,0.0978823484,1784.0506029546,2051.6348661338,8582625.22161629,3.38E+06,3047858.56548852
-19.72,0.3692307692,443936.940451629,6.24E+03,0.4608152032,0.389,0.5614,0.0718152032,0.1005847968,1896.8858712363,2139.5958540993,9068707.52796615,3.54E+06,3235073.88611408
-19.72,0.3846153846,468629.553042,6.59E+03,0.4855078158,0.4085,0.5896,0.0770078158,0.1040921842,2008.6473129375,2236.8537301805,9573126.19935593,3.71E+06,3422764.13169931
-19.78,0.4,493577.000230291,6.94E+03,0.5108256238,0.429,0.6191,0.0818256238,0.1082743762,2119.4875356974,2342.0844041355,10082750.6110794,3.89E+06,3609823.61928673
-19.93,0.4153846154,518590.638512154,7.29E+03,0.5368011102,0.4505,0.6502,0.0863011102,0.1133988898,2229.6660263736,2457.7014972334,10593727.1690513,4.08E+06,3796195.5285681
-19.99,0.4307692308,544859.292053057,7.66E+03,0.5634693573,0.4731,0.6828,0.0903693573,0.1193306427,2338.7613749484,2582.5187799329,11130341.0761382,4.29E+06,3983716.50124869
-20.05,0.4461538462,571849.904393347,8.04E+03,0.5908683314,0.4968,0.717,0.0940683314,0.1261316686,2447.1919717136,2717.2294261958,11681703.0985592,4.51E+06,4171852.74712945
-20.14,0.4615384615,599391.375978902,8.42E+03,0.6190392084,0.5217,0.7529,0.0973392084,0.1338607916,2554.6895773025,2862.5668785186,12244318.02861,4.75E+06,4359940.7858081
-20.22,0.4769230769,627801.975847543,8.82E+03,0.6480267453,0.5346,0.7907,0.1134267453,0.1426732547,2764.478137416,3020.2316937594,12824687.4401771,5.00E+06,4676886.21459167
-20.35,0.4923076923,656681.063695447,9.23E+03,0.6778797084,0.5614,0.8303,0.1164797084,0.1524202916,2874.3335168054,3189.1609560431,13414627.0858859,5.27E+06,4870423.28476663
-20.42,0.5076923077,686909.045577307,9.65E+03,0.7086513671,0.5896,0.8719,0.1190513671,0.1632486329,2983.2372351614,3371.0811242469,14032121.828649,5.56E+06,5065463.33516992
-20.47,0.5230769231,718260.887143308,1.01E+04,0.7404000654,0.6191,0.8935,0.1213000654,0.1530999346,3092.7817208262,3359.8912764797,14672574.685165,5.60E+06,5263582.39132363
-20.53,0.5384615385,750564.908565275,1.05E+04,0.7731898882,0.6345,0.9383,0.1386898882,0.1651101118,3325.8395162075,3556.209625946,15332478.5939385,5.91E+06,5617399.48478673
-20.53,0.5538461538,784466.460240956,1.10E+04,0.8070914399,0.6663,0.9853,0.1407914399,0.1782085601,3439.1853650822,3766.3846463537,16025016.7201377,6.24E+06,5825065.4320296
-20.61,0.5692307692,818893.422391021,1.15E+04,0.8421827597,0.6997,1.0347,0.1424827597,0.1925172403,3553.2593093915,3992.049418593,16728287.8885556,6.59E+06,6034792.18469247
-20.7,0.5846153846,854490.317529772,1.20E+04,0.8785504039,0.717,1.0866,0.1615504039,0.2080495961,3811.9411127007,4233.858848289,17455458.3524251,6.96E+06,6427245.10807369
-20.72,0.6,892055.933252807,1.25E+04,0.9162907319,0.7529,1.1135,0.1633907319,0.1972092681,3933.4257866155,4228.5500167358,18222845.6794486,7.02E+06,6652129.34051522
-20.79,0.6153846154,930655.102078019,1.31E+04,0.955511445,0.7716,1.1693,0.183911445,0.213788555,4215.6061481717,4485.3471583414,19011346.3447511,7.42E+06,7080344.64254926
-20.81,0.6307692308,971296.602323145,1.37E+04,0.9963334395,0.8102,1.2279,0.1861334395,0.2315665605,4347.5984515828,4759.2126606517,19841567.5893401,7.85E+06,7324102.35678772
-20.81,0.6461538462,1013856.21674194,1.42E+04,1.038893054,0.8509,1.2895,0.187993054,0.250606946,4482.3214764638,5051.3064170386,20710971.9134642,8.30E+06,7575187.10623062
-20.88,0.6615384615,1057665.8652844,1.49E+04,1.0833448165,0.8935,1.3214,0.1898448165,0.2380551835,4623.3470299572,5044.8092986988,21605911.8324769,8.37E+06,7836786.31210248
-20.97,0.6769230769,1103336.04880323,1.55E+04,1.1298648322,0.9156,1.3877,0.2142648322,0.2578351678,4957.3411747142,5351.4680453337,22538858.6078895,8.84E+06,8343243.91495404
-20.97,0.6923076923,1152126.21297267,1.62E+04,1.1786549963,0.9615,1.4572,0.2171549963,0.2785450037,5117.5866486567,5674.5526714426,23535540.0929759,9.34E+06,8638269.61789513
