Flight/sample#,,20150823_b924_filter4_063l,,,,,,,,,,,
Total flow (litres),,,63,,,,,,,,,,
Total area (um2/cm3),,,1318.0531427931,217.2344347469,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1202.7075998277,211.4182700518,,,,,,,,,
Total number (um2/cm3),,,795.5795351711,273.7634469806,,,,,,,,,
Number for d>0.5um (um2/cm3),,,156.6900752595,15.1247789317,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-6.97,0.0106382979,10527.7354550992,2.09E+02,0.0106952891,0.0005,0.0179,0.0101952891,0.0072047109,209.1634568914,152.4357074849,158584.712856949,1.19E+05,160829.254820564
-12.59,0.0212765957,20226.4658808402,4.02E+02,0.0215062052,0.0124,0.0298,0.0091062052,0.0082937948,209.5389987133,195.7911615203,304681.695080997,1.57E+05,166718.502700066
-12.69,0.0319148936,31108.39257611,6.18E+02,0.0324352758,0.0234,0.042,0.0090352758,0.0095647242,240.2045685478,248.1536458412,468601.773397922,2.03E+05,197931.741122093
-13.26,0.0425531915,41854.3658680264,8.31E+02,0.0434851119,0.0337,0.0564,0.0097851119,0.0129148881,289.1518001382,334.0885948491,630473.915430288,2.74E+05,242743.175039594
-13.79,0.0531914894,52683.0103644028,1.05E+03,0.0546584125,0.0452,0.0685,0.0094584125,0.0138415875,328.2192665557,384.6906736877,793591.376484658,3.20E+05,281278.393836565
-14.39,0.0638297872,63503.6967079579,1.26E+03,0.0659579678,0.0564,0.0813,0.0095579678,0.0153420322,376.2063457409,445.3149611715,956588.959775624,3.73E+05,326074.384462702
-14.56,0.0744680851,74776.717657556,1.48E+03,0.0773866636,0.0669,0.0942,0.0104866636,0.0168133364,434.2862275432,506.6461607371,1126400.29270159,4.27E+05,378191.759991469
-14.59,0.085106383,86309.0603386045,1.71E+03,0.088947486,0.0774,0.1091,0.011547486,0.020152514,494.4285276412,593.2871837699,1300117.92271254,4.99E+05,432007.539349028
-14.66,0.0957446809,97937.433002896,1.94E+03,0.1006435258,0.0875,0.1203,0.0131435258,0.0196564742,560.1590615737,630.8640185116,1475282.10192518,5.37E+05,489629.718136095
-14.95,0.1063829787,109472.564154604,2.17E+03,0.1124779834,0.0989,0.1359,0.0135779834,0.0234220166,616.0595039336,723.2628245877,1649041.73610888,6.12E+05,540676.923116379
-15.27,0.1170212766,121079.896926506,2.40E+03,0.1244541745,0.1091,0.1499,0.0153541745,0.0254458255,684.5515427279,794.3042206869,1823888.98056311,6.73E+05,600085.995649323
-15.41,0.1276595745,133025.959358252,2.64E+03,0.136575535,0.1203,0.1613,0.016275535,0.024724465,746.2181809609,832.7037159319,2003838.68471265,7.13E+05,655439.407012609
-15.5,0.1382978723,145178.58050998,2.88E+03,0.1488456276,0.1326,0.1779,0.0162456276,0.0290543724,800.8755753662,932.8085510999,2186899.88947274,7.94E+05,706480.140315026
-15.55,0.1489361702,157534.166884047,3.13E+03,0.1612681476,0.1427,0.1914,0.0185681476,0.0301318524,875.6220036782,994.3387593951,2373018.46413369,8.50E+05,770908.354053072
-15.55,0.1595744681,170112.949090907,3.38E+03,0.1738469298,0.1536,0.206,0.0202469298,0.0321530702,945.8555775623,1067.9784914962,2562499.15282243,9.14E+05,832671.041793296
-15.59,0.170212766,182797.549393874,3.63E+03,0.1865859556,0.1653,0.2217,0.0212859556,0.0351140444,1011.4450792651,1153.4560063261,2753573.83410888,9.86E+05,891532.435588934
-15.68,0.1808510638,195575.578811827,3.88E+03,0.1994893604,0.1779,0.2385,0.0215893604,0.0390106396,1071.9041724416,1251.0591455781,2946055.88637609,1.07E+06,947171.700682463
-15.7,0.1914893617,208619.24046338,4.14E+03,0.212561442,0.1868,0.2505,0.025761442,0.037938558,1165.1173176719,1289.679683531,3142539.2940792,1.11E+06,1024528.31605736
-15.89,0.2021276596,221583.970575722,4.40E+03,0.2258066687,0.1961,0.2696,0.0297066687,0.0437933313,1258.8061955573,1411.6435780473,3337833.71526812,1.20E+06,1102159.71961012
-15.94,0.2127659574,234929.915133789,4.66E+03,0.2392296891,0.2111,0.2831,0.0281296891,0.0438703109,1303.8565127267,1465.1963770294,3538870.5664098,1.26E+06,1148374.35249581
-15.95,0.2234042553,248519.984028586,4.93E+03,0.2528353411,0.2217,0.2973,0.0311353411,0.0444646589,1390.1953392783,1526.394045353,3743584.78843593,1.31E+06,1221944.9891058
