Flight/sample#,,20150811_b921_filter2_089l,,,,,,,,,,,
Total flow (litres),,,89,,,,,,,,,,
Total area (um2/cm3),,,178.3909934381,19.8061479896,,,,,,,,,
Area for d>0.5um (um2/cm3),,,155.7067298163,19.4419768,,,,,,,,,
Total number (um2/cm3),,,180.616310319,5.3701023505,,,,,,,,,
Number for d>0.5um (um2/cm3),,,16.1178823373,2.0326094412,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-9.47,0.012987013,12658.1456579588,1.78E+02,0.0130720816,0.0006,0.0217,0.0124720816,0.0086279184,181.1107359694,129.5359860273,997256.752118057,7.35E+05,1021265.75198673
-13.37,0.025974026,24620.3599632185,3.46E+02,0.0263173083,0.015,0.0372,0.0113173083,0.0108826917,183.6090731725,178.3437258879,1939685.39123731,1.02E+06,1051539.69183346
-14.11,0.038961039,37522.4832853363,5.27E+02,0.0397403286,0.0284,0.0524,0.0113403286,0.0126596714,211.1542920823,225.4785490697,2956163.62962381,1.31E+06,1228321.93647843
-14.51,0.0519480519,50782.8194408035,7.14E+02,0.0533459807,0.042,0.0685,0.0113459807,0.0151540193,244.9405303297,282.7164599082,4000863.23442575,1.65E+06,1443119.51762111
-15.29,0.0649350649,63740.5229823579,8.96E+02,0.0671393028,0.055,0.0854,0.0121393028,0.0182606972,289.591630822,347.3047809001,5021720.2934243,2.03E+06,1716430.11402865
-15.74,0.0779220779,77125.8828484594,1.08E+03,0.0811255448,0.0685,0.1013,0.0126255448,0.0201744552,333.8129045684,400.423292557,6076269.74061026,2.34E+06,1989138.75391045
-16.3,0.0909090909,90412.3259252993,1.27E+03,0.0953101798,0.0813,0.1174,0.0140101798,0.0220898202,386.1558554821,454.6747523649,7123026.14775271,2.67E+06,2304601.84558527
-17.14,0.1038961039,103061.797880275,1.45E+03,0.1096989173,0.0942,0.1359,0.0154989173,0.0262010827,440.029367297,530.8265888729,8119599.55263341,3.11E+06,2626229.85312047
-17.82,0.1168831169,115809.517417429,1.63E+03,0.1242977167,0.1091,0.1499,0.0151977167,0.0256022833,483.0064017222,563.1565730725,9123913.27488395,3.32E+06,2890866.25838538
-18.14,0.1298701299,129582.837561267,1.82E+03,0.1391128025,0.1203,0.1694,0.0188128025,0.0302871975,552.2541885503,645.1885219029,10209027.7050445,3.79E+06,3296731.75487303
-18.59,0.1428571429,142935.87929388,2.01E+03,0.1541506798,0.1359,0.1868,0.0182506798,0.0326493202,595.347988696,706.5427601739,11261031.0070282,4.15E+06,3563831.66652762
-18.83,0.1558441558,157186.127101307,2.21E+03,0.169418152,0.1463,0.206,0.023118152,0.036581848,673.9591831708,782.9350303403,12383719.6084488,4.60E+06,4020399.41740278
-19.05,0.1688311688,171677.004229155,2.41E+03,0.1849223385,0.1613,0.2217,0.0236223385,0.0367776615,724.9893234009,826.1708987517,13525365.9009113,4.87E+06,4332609.48054283
