0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,-20.5493103448,,,-20.83575,,,,-11.1744262295,,,-11.2879761905,,,,-8.8890123457,,,-9.5501136364,,,,-27.9225,,,-30.47,,,,-18.6373417722,,,-18.5680882353,,,,,,,,,
2,0.1wt% kaolinite,,,,,,,0.1wt% feldspar,,,,,,,1wt% feldspar,,,,,,,milliq,,,,,,,1wt% koalinite,,,,,,,,,,,,
3,glass slide,,,filter ,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,,,,,,
18,-17.81,0.1724137931,189241.999638528,-18.13,0.1875,207639.364778244,,-10.38,0.2459016393,282232.467684216,-9.97,0.1785714286,196710.294246054,15,-8.29,0.1875,207639.364778244,-8.58,0.1704545455,186877.373329815,,-25.75,0.25,287682.072451781,-29.77,0.1973684211,219859.47611302,,-17.33,0.1898734177,210564.76910735,-17.49,0.2205882353,249215.791623985,,,,,,,
19,-18.02,0.183908046,203228.241613268,-18.19,0.2,223143.55131421,,-10.48,0.262295082,304211.374402992,-10.13,0.1904761905,211309.093667207,16,-8.29,0.2,223143.55131421,-8.69,0.1818181818,200670.695462151,,-25.84,0.2666666667,310154.928303839,-29.93,0.2105263158,236388.77806423,,-17.35,0.2025316456,226313.126075489,-17.77,0.2352941176,268263.986594679,,,,,,,
20,-18.24,0.1954022989,217412.876605225,-18.44,0.2125,238891.908282349,,-10.48,0.2786885246,326684.23025505,-10.13,0.2023809524,226124.179452348,17,-8.32,0.2125,238891.908282349,-8.73,0.1931818182,214656.937436891,,-25.86,0.2833333333,333144.446528538,-29.93,0.2236842105,253195.896380612,,-17.38,0.2151898734,242313.46742193,-18.02,0.25,287682.072451781,,,,,,,
21,-18.52,0.2068965517,231801.614057324,-18.46,0.225,254892.24962879,,-10.51,0.2950819672,349673.748479749,-10.17,0.2142857143,241162.056816888,18,-8.32,0.225,254892.24962879,-8.75,0.2045454545,228841.572428848,,-26.01,0.3,356674.943938732,-30.03,0.2368421053,270290.329739912,,-17.4,0.2278481013,258573.98829371,-18.01,0.2647058824,307484.699747961,,,,,,,
22,-18.65,0.2183908046,246400.413478477,-18.49,0.2375,271152.77050057,,-10.74,0.3114754098,373204.245889943,-10.35,0.2261904762,256429.528947676,19,-8.34,0.2375,271152.77050057,-8.77,0.2159090909,243230.309880947,,-26.16,0.3166666667,380772.495517793,-30.12,0.25,287682.072451781,,-17.4,0.2405063291,275103.290244921,-18.06,0.2794117647,327687.40706548,,,,,,,
23,-18.65,0.2298850575,261215.499263618,-18.68,0.25,287682.072451781,,-10.78,0.3278688525,397301.797469004,-10.53,0.2380952381,271933.715483642,20,-8.44,0.25,287682.072451781,-8.87,0.2272727273,257829.1093021,,-26.16,0.3333333333,405465.108108164,-30.14,0.2631578947,305381.649551182,,-17.49,0.253164557,291910.408561302,-18.32,0.2941176471,348306.694268216,,,,,,,
24,-18.74,0.2413793103,276253.376628158,-18.7,0.2625,304489.190768162,,-10.83,0.3442622951,421994.410059375,-10.54,0.25,287682.072451781,21,-8.44,0.2625,304489.190768162,-8.89,0.2386363636,272644.19508724,,-26.67,0.35,430782.916092454,-30.2,0.2763157895,323400.15505386,,-17.73,0.2658227848,309004.841920602,-18.36,0.3088235294,369360.103466048,,,,,,,
25,-18.74,0.2528735632,291520.848758947,-18.98,0.275,321583.624127462,,-11.07,0.3606557377,447312.218043665,-10.63,0.2619047619,303682.413798222,22,-8.45,0.275,321583.624127462,-8.94,0.25,287682.072451781,,-26.89,0.3666666667,456758.402495715,-30.25,0.2894736842,341749.293722057,,-17.74,0.2784810127,326396.584632471,-18.37,0.3235294118,390866.308687012,,,,,,,
26,-18.75,0.2643678161,307025.035294912,-19.32,0.2875,338975.366839332,,-11.07,0.3770491803,473287.704446925,-10.66,0.2738095238,319942.934670002,23,-8.54,0.2875,338975.366839332,-8.97,0.2613636364,302949.544582569,,-26.91,0.3833333333,483426.649577876,-30.31,0.3026315789,360441.426734209,,-17.79,0.2911392405,344096.161731872,-18.37,0.3382352941,412845.215405787,,,,,,,
27,-18.99,0.275862069,322773.392263051,-19.34,0.3,356674.943938732,,-11.11,0.393442623,499955.951529087,-10.79,0.2857142857,336472.236621213,24,-8.61,0.3,356674.943938732,-8.97,0.2727272727,318453.731118535,,-27.05,0.4,510825.623765991,-30.33,0.3157894737,379489.621704904,,-17.96,0.3037974684,362114.667234551,-18.58,0.3529411765,435318.071257846,,,,,,,
