Flight/sample#,,20150811_b921_filter4_034l,,,,,,,,,,,
Total flow (litres),,,34,,,,,,,,,,
Total area (um2/cm3),,,23.7769248275,7.3650290819,,,,,,,,,
Area for d>0.5um (um2/cm3),,,20.0363686624,7.3421811161,,,,,,,,,
Total number (um2/cm3),,,47.1103996952,7.3923051144,,,,,,,,,
Number for d>0.5um (um2/cm3),,,1.3167788745,0.5289459543,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-13.43,0.0147058824,13080.9011849983,4.81E+02,0.0148150858,0.0006,0.0245,0.0142150858,0.0096849142,540.1972464175,381.1478421703,20239644.9872363,1.72E+07,23568523.7871096
-15.74,0.0294117647,25853.3011857721,9.51E+02,0.0298529631,0.0174,0.042,0.0124529631,0.0121470369,533.1867615069,523.5478541293,40001956.3138523,2.53E+07,25620161.7963437
-16.29,0.0441176471,40240.2680131931,1.48E+03,0.0451204353,0.0321,0.0606,0.0130204353,0.0154795647,631.9908407774,703.0427692804,62262433.3950561,3.53E+07,32839781.3063732
-16.34,0.0588235294,55655.3781682137,2.05E+03,0.0606246218,0.0475,0.0794,0.0131246218,0.0187753782,734.8261162627,885.4043797677,86113722.5810463,4.58E+07,40824401.8463762
-16.98,0.0735294118,70109.1228380235,2.58E+03,0.0763729788,0.0621,0.0965,0.0142729788,0.0201270212,873.3076476528,1017.4588381193,108477522.805193,5.44E+07,49780467.72654
-17.03,0.0882352941,85995.1317061049,3.16E+03,0.0923733201,0.0774,0.1174,0.0149733201,0.0250266799,1007.8656229938,1249.0241820811,133057417.96737,6.68E+07,59122518.0560465
-17.04,0.1029411765,102232.536865625,3.76E+03,0.108633841,0.0919,0.1359,0.016733841,0.027266159,1167.9931526298,1411.1789141141,158181016.968293,7.70E+07,69381644.1682961
-17.22,0.1176470588,118331.131862128,4.35E+03,0.125163143,0.1064,0.1536,0.018763143,0.028436857,1335.7859430159,1549.9380154801,183089839.60325,8.64E+07,79828282.9221396
-17.37,0.1323529412,134757.271544446,4.96E+03,0.1419702613,0.1232,0.1736,0.0187702613,0.0316297387,1469.5253029036,1742.6125985444,208505461.277861,9.77E+07,89393112.2385863
-17.43,0.1470588235,151693.429810057,5.58E+03,0.1590646946,0.1359,0.1961,0.0231646946,0.0370353054,1684.7925675761,1992.152174836,234710217.807689,1.11E+08,101521365.367524
-17.48,0.1617647059,168950.626807168,6.22E+03,0.1764564373,0.1536,0.2163,0.0228564373,0.0398435627,1818.371763942,2178.9961795368,261411706.929622,1.22E+08,111379364.393398
-17.54,0.1764705882,186485.5034272,6.86E+03,0.1941560144,0.1694,0.2385,0.0247560144,0.0443439856,1994.119143276,2410.0711707243,288542840.531599,1.35E+08,122565016.304308
-17.79,0.1911764706,203777.944086221,7.50E+03,0.2121745199,0.1823,0.2567,0.0298745199,0.0445254801,2228.4955880666,2538.0099061086,315298861.003858,1.45E+08,135362298.436411
-17.95,0.2058823529,221626.730458935,8.15E+03,0.2305236586,0.1961,0.2831,0.0344236586,0.0525763414,2457.6868358993,2859.6684694076,342915696.765225,1.60E+08,148212257.897406
-18.16,0.2205882353,239616.624905098,8.82E+03,0.2492157916,0.2163,0.3046,0.0329157916,0.0553842084,2579.035071008,3055.5869706303,370750864.373231,1.72E+08,157968353.69
-18.22,0.2352941176,258454.184748128,9.51E+03,0.2682639866,0.2271,0.3278,0.0411639866,0.0595360134,2881.1998541726,3287.1383025156,399897596.56367,1.86E+08,173284664.55108
