Flight/sample#,,20150812_b922_filter2_099l,,,,,,,,,,,
Total flow (litres),,,99,,,,,,,,,,
Total area (um2/cm3),,,93.7773122982,10.8790756363,,,,,,,,,
Area for d>0.5um (um2/cm3),,,82.8545702689,10.8358371482,,,,,,,,,
Total number (um2/cm3),,,109.6151399171,15.7081498005,,,,,,,,,
Number for d>0.5um (um2/cm3),,,7.5753669123,8.4221182307,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-13.38,0.0092592593,7599.2942593889,9.60E+01,0.0093023927,0.0004,0.0154,0.0089023927,0.0060976073,116.193623561,82.3699691029,1023858.90708376,8.86E+05,1244717.83109057
-15.28,0.0185185185,15305.6264711141,1.93E+02,0.018692133,0.0109,0.0258,0.007792133,0.007107867,114.5528959493,107.2137717071,2062139.12187779,1.17E+06,1244746.6267192
-15.62,0.0277777778,24341.1317067504,3.08E+02,0.028170877,0.0202,0.0363,0.007970877,0.008129123,133.9123367632,135.4224019425,3279499.86614407,1.49E+06,1477795.08651792
-15.9,0.037037037,33502.3260004856,4.23E+02,0.037740328,0.0298,0.0475,0.007940328,0.009759672,155.0687426381,170.8419063794,4513794.79630512,1.90E+06,1734515.99958697
-16.95,0.0462962963,41205.9963226091,5.21E+02,0.0474022389,0.039,0.0592,0.0084022389,0.0117977611,182.5556051744,210.4183227427,5551716.37261441,2.33E+06,2050467.344627
-17.01,0.0555555556,50826.206721945,6.42E+02,0.0571584138,0.0487,0.0702,0.0084584138,0.0130415862,208.5457866593,243.3547473999,6847854.90458539,2.71E+06,2361475.32240749
-17.16,0.0648148148,60325.3954802682,7.62E+02,0.0670107103,0.0577,0.0813,0.0093107103,0.0142892897,240.6607185999,276.9004542329,8127688.09544557,3.10E+06,2734033.32640983
-17.25,0.0740740741,70054.4791660854,8.85E+02,0.0769610411,0.0669,0.0919,0.0100610411,0.0149389589,272.5807082262,306.2147186322,9438495.21114321,3.44E+06,3106078.44469631
-18.55,0.0833333333,75957.6919253916,9.60E+02,0.087011377,0.0774,0.1039,0.009611377,0.016888623,298.4375141889,346.1938261721,10233839.7204782,3.88E+06,3396647.17516656
-18.6,0.0925925926,85908.3034480592,1.09E+03,0.0971637485,0.0854,0.1145,0.0117637485,0.0173362515,338.7679968265,375.0336121088,11574493.4562941,4.22E+06,3853952.06516268
-19.09,0.1018518519,93981.854011706,1.19E+03,0.1074202486,0.0942,0.1263,0.0132202486,0.0188797514,375.7262255477,412.5180843134,12662249.2891687,4.64E+06,4267372.89573092
-19.25,0.1111111111,103543.846568116,1.31E+03,0.1177830357,0.1039,0.1393,0.0138830357,0.0215169643,408.5904797224,458.3516426649,13950544.0852616,5.15E+06,4647893.61970634
-19.33,0.1203703704,113597.028297898,1.44E+03,0.1282543355,0.1145,0.1499,0.0137543355,0.0216456645,437.7991394932,486.0686451904,15305017.1859514,5.48E+06,4994734.74298142
-19.36,0.1296296296,124019.197149634,1.57E+03,0.1388364449,0.1232,0.1653,0.0156364449,0.0264635551,477.7477013617,548.6420497755,16709204.2125029,6.16E+06,5450811.86614498
-19.68,0.1388888889,132895.949839017,1.68E+03,0.149531734,0.1326,0.1736,0.016931734,0.024068266,515.0261964884,558.5346531157,17905176.101047,6.31E+06,5871699.47709263
-19.76,0.1481481481,143218.374426321,1.81E+03,0.1603426501,0.1427,0.1868,0.0176426501,0.0264573499,549.6000219958,603.419410244,19295924.5042101,6.81E+06,6273648.47551016
-19.78,0.1574074074,154023.09707167,1.95E+03,0.1712717206,0.1536,0.201,0.0176717206,0.0297282794,581.205827541,655.0029057996,20751653.3049922,7.39E+06,6648857.97426629
-19.88,0.1666666667,164437.517693871,2.08E+03,0.1823215568,0.1613,0.2111,0.0210215568,0.0287784432,629.9561825067,677.1342769465,22154796.4064694,7.66E+06,7192468.23552544
-19.98,0.1759259259,174951.994892278,2.21E+03,0.1934948574,0.1736,0.2271,0.0198948574,0.0336051426,656.2809763977,740.1333282519,23571420.2093466,8.35E+06,7513564.11018432
-19.98,0.1851851852,186251.550146211,2.35E+03,0.2047944126,0.1823,0.2385,0.0224944126,0.0337055874,701.7642654557,770.1001613384,25093818.1976244,8.71E+06,8029602.25431086
-20,0.1944444444,197545.597017953,2.50E+03,0.2162231085,0.1914,0.2505,0.0248231085,0.0342768915,746.5221499972,804.0439022357,26615474.0372266,9.11E+06,8538412.73480623
-20.08,0.2037037037,208557.974823403,2.64E+03,0.2277839309,0.201,0.2631,0.0267839309,0.0353160691,789.8331898353,841.6760799398,28099180.3814507,9.55E+06,9031253.14314412
-20.08,0.212962963,220254.014586594,2.78E+03,0.2394799706,0.2111,0.2762,0.0283799706,0.0367200294,831.5877122977,882.1622481008,29674997.0402614,1.00E+07,9512478.64407985
-20.08,0.2222222222,232088.472233597,2.93E+03,0.2513144283,0.2217,0.2901,0.0296144283,0.0387855717,871.7693717233,927.4276949738,31269462.8496909,1.05E+07,9978871.57022273
-20.1,0.2314814815,243925.054046264,3.08E+03,0.2632906193,0.2328,0.3046,0.0304906193,0.0413093807,910.4317516871,976.1601843778,32864214.849635,1.11E+07,10430222.6519682
-20.13,0.2407407407,255835.097606423,3.23E+03,0.2754119799,0.2444,0.3199,0.0310119799,0.0444880201,947.6826679228,1029.8165221759,34468864.4087383,1.17E+07,10868043.1976452
-20.15,0.25,267963.032714377,3.39E+03,0.2876820725,0.2505,0.3359,0.0371820725,0.0482179275,1016.4119737723,1087.9079114634,36102870.6678684,1.23E+07,11619651.9264718
-20.17,0.2592592593,280242.362952844,3.54E+03,0.3001045925,0.2631,0.3442,0.0370045925,0.0440954075,1050.0795733057,1092.9171382532,37757274.512297,1.25E+07,12023817.1010741
-20.17,0.2685185185,292821.145159704,3.70E+03,0.3126833747,0.2762,0.3615,0.0364833747,0.0488166253,1082.6896528774,1157.6517371293,39452023.7565244,1.32E+07,12419412.4034441
-20.31,0.2777777778,304528.30232047,3.85E+03,0.3254224004,0.2831,0.3796,0.0423224004,0.0541775996,1151.289338585,1228.0449214444,41029338.2710756,1.39E+07,13167253.778495
-20.42,0.287037037,316583.483751932,4.00E+03,0.3383258053,0.2973,0.389,0.0410258053,0.0506741947,1179.952227471,1238.356114559,42653542.3700106,1.41E+07,13520503.2283752
-20.45,0.2962962963,329418.313192386,4.16E+03,0.3513978868,0.3046,0.4085,0.0467978868,0.0571021132,1249.6857181498,1316.2908236211,44382789.0598955,1.50E+07,14286195.6909444
-20.49,0.3055555556,342343.171730466,4.33E+03,0.3646431136,0.3199,0.4186,0.0447431136,0.0539568864,1274.6707250492,1330.3976138734,46124165.4410853,1.52E+07,14607819.9103296
-20.52,0.3148148148,355522.855184763,4.49E+03,0.3780661339,0.3278,0.4396,0.0502661339,0.0615338661,1344.0288806069,1416.8668089895,47899874.5841487,1.61E+07,15371681.6522457
-20.52,0.3240740741,369128.507240542,4.66E+03,0.391671786,0.3442,0.4505,0.047471786,0.058828214,1365.8761728666,1434.6873296689,49732974.8127365,1.64E+07,15666187.0293709
-20.54,0.3333333333,382758.131408031,4.84E+03,0.4054651081,0.3528,0.4731,0.0526651081,0.0676348919,1434.0730509356,1531.0282030276,51569304.8228353,1.74E+07,16420899.5159897
-20.6,0.3425925926,396246.112744511,5.01E+03,0.4194513501,0.3705,0.4848,0.0489513501,0.0653486499,1452.4380949161,1552.0202779777,53386551.1826368,1.77E+07,16680551.2735586
-20.73,0.3518518519,409313.355145576,5.17E+03,0.4336359851,0.3796,0.5091,0.0540359851,0.0754640149,1520.5107406651,1659.7981845448,55147111.0539463,1.88E+07,17430574.5609824
-20.75,0.3611111111,423525.473878371,5.35E+03,0.4480247225,0.389,0.5217,0.0590247225,0.0736752775,1589.5030576771,1684.3015665328,57061921.0160854,1.91E+07,18196573.8242719
-20.75,0.3703703704,438124.273299523,5.54E+03,0.4626235219,0.4085,0.5346,0.0541235219,0.0719764781,1602.6515791708,1711.1027345494,59028828.7722377,1.95E+07,18410895.263805
-20.79,0.3796296296,452582.264783836,5.72E+03,0.4774386077,0.4186,0.5479,0.0588386077,0.0704613923,1670.3978456335,1740.7277880989,60976765.3640424,1.99E+07,19165624.01506
-20.79,0.3888888889,467620.142148376,5.91E+03,0.4924764851,0.429,0.5753,0.0634764851,0.0828235149,1738.9539436193,1864.3508696784,63002830.4376899,2.12E+07,19931877.3097214
-20.82,0.3981481481,482616.38196266,6.10E+03,0.5077439572,0.4396,0.5896,0.0681439572,0.0818560428,1808.84815331,1897.438227364,65023285.6513631,2.16E+07,20711304.3698591
-20.84,0.4074074074,497938.104670676,6.29E+03,0.5232481438,0.4505,0.6042,0.0727481438,0.0809518562,1879.4665944471,1932.2734477381,67087593.4319294,2.20E+07,21499908.694697
-20.88,0.4166666667,513317.549479761,6.49E+03,0.5389965007,0.4731,0.6345,0.0658965007,0.0955034993,1882.8066804055,2075.5216129976,69159678.1566826,2.35E+07,21621158.2739926
-20.9,0.4259259259,529131.423182836,6.69E+03,0.5549968421,0.4848,0.6502,0.0701968421,0.0952031579,1951.9764989331,2114.3489506623,71290293.8288402,2.40E+07,22397855.2114266
-20.9,0.4351851852,545391.944054616,6.89E+03,0.571257363,0.4968,0.6663,0.074457363,0.095042637,2021.9703941455,2155.3108412424,73481086.6261877,2.45E+07,23185372.0571006
-20.92,0.4444444444,561733.424328112,7.10E+03,0.5877866649,0.5091,0.6828,0.0786866649,0.0950133351,2092.8017285326,2198.3029753846,75682787.1475593,2.50E+07,23981724.7525513
-20.94,0.4537037037,578351.357100114,7.31E+03,0.6045937832,0.5217,0.6997,0.0828937832,0.0951062168,2164.4995287422,2243.2288768613,77921734.3320181,2.56E+07,24788319.494452
-20.95,0.462962963,595350.683145117,7.52E+03,0.6216882166,0.5346,0.717,0.0870882166,0.0953117834,2237.1069088601,2289.9993532108,80212066.9328506,2.61E+07,25606171.8812522
