Flight/sample#,,20150825_b928_filter9_015l,,,,,,,,,,,
Total flow (litres),,,15,,,,,,,,,,
Total area (um2/cm3),,,163.4110267556,18.78920846,,,,,,,,,
Area for d>0.5um (um2/cm3),,,140.4034458326,18.7106198209,,,,,,,,,
Total number (um2/cm3),,,201.9175187085,28.3223582816,,,,,,,,,
Number for d>0.5um (um2/cm3),,,13.52227045,2.0949359744,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.72,0.0082644628,6957.4406936419,5.80E+02,0.0082988028,0.0004,0.0136,0.0078988028,0.0053011972,681.042059901,474.7488057266,3550395.40250513,2.93E+06,4187608.41759496
-16.46,0.0165289256,11477.3352951269,9.57E+02,0.0166670525,0.0097,0.0228,0.0069670525,0.0061329475,677.060129705,618.4081949484,5856906.3336849,3.84E+06,4197667.15941991
-18.77,0.0247933884,13136.5411429689,1.10E+03,0.0251059211,0.0183,0.0321,0.0068059211,0.0069940789,772.2518425619,783.8550718301,6703602.27740615,4.86E+06,4788270.35619584
-19.32,0.0330578512,19012.2324903575,1.59E+03,0.0336166108,0.0264,0.042,0.0072166108,0.0083833892,924.0611854685,990.181236458,9701978.90250215,6.16E+06,5763811.0629001
-19.98,0.041322314,23657.4919905742,1.97E+03,0.0422003545,0.0346,0.0524,0.0076003545,0.0101996455,1084.7186574787,1224.0690037902,12072463.783255,7.62E+06,6781561.92717336
-20.34,0.0495867769,29736.3228028878,2.48E+03,0.0508584172,0.0431,0.0621,0.0077584172,0.0112415828,1242.6154165354,1415.7299197555,15174502.8690309,8.84E+06,7801834.39203306
-20.43,0.0578512397,37770.9775650196,3.15E+03,0.0595920972,0.0511,0.072,0.0084920972,0.0124079028,1430.6483588032,1617.358782752,19274602.6879567,1.01E+07,9031058.76805191
-20.51,0.0661157025,45940.854052269,3.83E+03,0.0684027269,0.0606,0.0813,0.0078027269,0.0128972731,1568.2340709937,1786.8064219314,23443706.413968,1.13E+07,9968253.02167125
-20.62,0.0743801653,53917.9321875862,4.50E+03,0.0772916743,0.0685,0.0919,0.0087916743,0.0146083257,1771.1618380831,2020.7628422062,27514424.7692012,1.28E+07,11290965.0702767
-20.64,0.0826446281,62716.8737976523,5.23E+03,0.0862603443,0.0774,0.1013,0.0088603443,0.0150396557,1945.1807513261,2193.3289590115,32004541.6404579,1.39E+07,12459442.5727128
-20.97,0.0909090909,68781.3964353456,5.74E+03,0.0953101798,0.0854,0.1118,0.0099101798,0.0164898202,2153.0850648933,2417.3650354188,35099279.2371335,1.53E+07,13780106.3480321
-21.12,0.0991735537,76434.5352617118,6.37E+03,0.1044426634,0.0942,0.1232,0.0102426634,0.0187573366,2340.122029442,2682.018237084,39004690.7383333,1.70E+07,15006307.185402
-21.46,0.1074380165,81985.3811705771,6.84E+03,0.1136593185,0.1013,0.1326,0.0123593185,0.0189406815,2585.2562916288,2848.8581934131,41837298.1097277,1.81E+07,16535765.4462864
-21.49,0.1157024793,90942.1479536247,7.58E+03,0.1229617111,0.1091,0.1427,0.0138617111,0.0197382889,2813.4134409778,3047.6758272939,46407953.4711027,1.94E+07,18024740.3606192
-21.54,0.1239669421,99747.4438261732,8.32E+03,0.1323514515,0.1174,0.1536,0.0149514515,0.0212485485,3029.3249431311,3280.5402018954,50901312.9347576,2.09E+07,19440012.5417524
-21.66,0.132231405,107779.625374789,8.99E+03,0.1418301954,0.1263,0.1653,0.0155301954,0.0234698046,3229.6081989919,3547.3302269126,55000150.6680567,2.26E+07,20750832.8676727
-21.8,0.1404958678,115580.105056003,9.64E+03,0.1513996465,0.1359,0.1779,0.0154996465,0.0265003535,3412.4486758153,3854.5597220273,58980750.4916136,2.45E+07,21956197.1700706
-21.83,0.1487603306,124851.153272867,1.04E+04,0.1610615574,0.1427,0.1868,0.0183615574,0.0257384426,3692.2020092978,3986.796206594,63711784.2747171,2.55E+07,23752472.6380124
-22.03,0.1570247934,131890.304695302,1.10E+04,0.1708177323,0.1536,0.1961,0.0172177323,0.0252822677,3841.6528689945,4140.2455918616,67303876.8196941,2.65E+07,24750090.2328029
-22.26,0.1652892562,138365.058851074,1.15E+04,0.1806700288,0.1613,0.2111,0.0193700288,0.0304299712,4100.3371660988,4543.4315157014,70607956.3511245,2.90E+07,26372874.6456055
-22.33,0.173553719,147230.403833138,1.23E+04,0.1906203596,0.1694,0.2217,0.0212203596,0.0310796404,4352.3146342099,4746.394527912,75131958.991162,3.03E+07,28000116.8010348
-22.37,0.1818181818,156648.299641524,1.31E+04,0.2006706955,0.1779,0.2328,0.0227706955,0.0321293045,4596.5349311175,4969.9968040875,79937929.3833957,3.18E+07,29592284.4487594
-22.63,0.1900826446,162459.01162007,1.35E+04,0.2108230669,0.1868,0.2444,0.0240230669,0.0335769331,4832.5466663306,5213.4592691972,82903146.9112669,3.33E+07,31071280.8814048
-22.68,0.1983471074,171832.735689938,1.43E+04,0.2210795671,0.1961,0.2567,0.0249795671,0.0356204329,5060.3388878036,5485.530171073,87686576.3801557,3.51E+07,32566919.1239169
-22.77,0.2066115702,180565.723341224,1.51E+04,0.2314423541,0.206,0.2696,0.0254423541,0.0381576459,5273.5035771128,5782.1501846168,92143036.819063,3.69E+07,33966039.1718614
-22.95,0.2148760331,187613.827209269,1.56E+04,0.241913654,0.2163,0.2762,0.025613654,0.034286346,5479.7356023056,5799.9930443101,95739697.8142986,3.72E+07,35294112.5415999
-23.05,0.2231404959,196195.605614131,1.64E+04,0.2524957633,0.2271,0.2901,0.0253957633,0.0376042367,5676.8680053273,6129.858955123,100118995.883168,3.92E+07,36597488.4442984
-23.24,0.2314049587,202885.009984032,1.69E+04,0.2631910524,0.2328,0.3046,0.0303910524,0.0414089476,6046.8686656065,6485.800069406,103532611.832794,4.14E+07,38871735.7696183
-23.24,0.2396694215,213695.926088247,1.78E+04,0.2740019685,0.2444,0.3122,0.0296019685,0.0381980315,6225.9570363286,6543.3370155066,109049443.168252,4.20E+07,40110175.2713944
-23.28,0.2479338843,223745.99235477,1.87E+04,0.2849310391,0.2505,0.3278,0.0344310391,0.0428689609,6600.8244494264,6935.8817803989,114178011.364333,4.44E+07,42473851.9213051
-23.46,0.2561983471,230679.03849609,1.92E+04,0.2959808753,0.2631,0.3442,0.0328808753,0.0482191247,6755.6248491462,7368.0676503787,117715958.179747,4.71E+07,43500610.8981337
-23.52,0.2644628099,240419.416724213,2.00E+04,0.3071541759,0.2696,0.3528,0.0375541759,0.0456458241,7131.6061024329,7452.598474186,122686491.972639,4.77E+07,45865384.6926098
