T,T,FF,"dFF +","dFF -",dT,ns,"dns +","dns -"
K,C,,,,K,m-2,m-2,m-2
233,-40.15,0.99,0,0.01,0.4,,,
,,,,,,,,
235,-38.15,0.97,0.02,0.03,0.4,,,
236,-37.15,0.83,0.07,0.07,0.4,495000000000,74200000000,76000000000
237,-36.15,0.67,0.12,0.11,0.4,313000000000,66700000000,63700000000
238,-35.15,0.57,0.11,0.1,0.4,235000000000,52700000000,52200000000
239,-34.15,0.36,0.1,0.11,0.4,127000000000,37700000000,43100000000
240,-33.15,0.24,0.11,0.07,0.4,76100000000,35100000000,25400000000
