Flight/sample#,,20150815_b925_filter2_111l,,,,,,,,,,,
Total flow (litres),,,111,,,,,,,,,,
Total area (um2/cm3),,,175.3026437157,16.4937914733,,,,,,,,,
Area for d>0.5um (um2/cm3),,,141.4270262703,16.4293337638,,,,,,,,,
Total number (um2/cm3),,,320.852434175,29.0825183699,,,,,,,,,
Number for d>0.5um (um2/cm3),,,13.5593375069,2.2305711872,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-14.24,0.008,5707.5313048117,6.43E+01,0.0080321717,0.0004,0.0133,0.0076321717,0.0052678283,88.8854907037,63.4631610871,366890.684564033,3.64E+05,508213.933128368
-14.58,0.016,13500.4838556622,1.52E+02,0.0161293819,0.0095,0.0222,0.0066293819,0.0060706181,87.2473501648,81.9205327307,867836.109733438,4.74E+05,504349.110064881
-14.67,0.024,21576.7924209729,2.43E+02,0.0242926926,0.0174,0.0313,0.0068926926,0.0070073074,103.1534810202,104.1294720935,1386996.18438413,6.08E+05,602727.837189227
-14.82,0.032,29655.8427505781,3.34E+02,0.0325231917,0.0258,0.041,0.0067231917,0.0084768083,118.3160501491,131.8464231181,1906332.50472236,7.73E+05,698350.808881795
-16.6,0.04,35362.6647824711,3.98E+02,0.0408219945,0.0337,0.0511,0.0071219945,0.0102780055,139.4714304854,162.5596188292,2273177.59590937,9.52E+05,823850.036525262
-16.63,0.048,43671.3422683604,4.92E+02,0.0491902442,0.042,0.0592,0.0071902442,0.0100097558,159.5541331215,177.8081921723,2807274.77520119,1.05E+06,947714.452561545
-16.74,0.056,51886.1638291652,5.85E+02,0.0576291128,0.0499,0.0685,0.0077291128,0.0108708872,183.0755840901,202.3297160928,3335338.72177546,1.20E+06,1090470.24818668
-16.92,0.064,60010.4434742028,6.76E+02,0.0661398025,0.0577,0.0794,0.0084398025,0.0132601975,207.8468343355,237.6621615217,3857582.46628977,1.40E+06,1239955.16826729
-17.04,0.072,68322.2420587655,7.70E+02,0.0747235462,0.0669,0.0875,0.0078235462,0.0127764538,226.6458009897,253.6229949019,4391880.27558566,1.50E+06,1357312.80702741
-17.11,0.08,76816.1320212076,8.66E+02,0.0833816089,0.0737,0.0989,0.0096816089,0.0155183911,257.2675834182,291.3151136816,4937883.25594685,1.73E+06,1539346.12460612
-17.27,0.088,85158.5749544659,9.60E+02,0.0921152889,0.0813,0.1091,0.0108152889,0.0169847111,284.7888180335,320.7552401295,5474150.94074065,1.90E+06,1704246.26081653
-17.49,0.096,93392.9056361641,1.05E+03,0.1009259186,0.0897,0.1174,0.0112259186,0.0164740814,309.0851733211,337.6300192285,6003468.96974348,2.01E+06,1851421.49261781
-17.64,0.104,101861.783919019,1.15E+03,0.109814866,0.0989,0.1294,0.010914866,0.019585134,330.5831404536,377.9756971526,6547864.15301069,2.24E+06,1983867.71816115
-17.69,0.112,110685.288432858,1.25E+03,0.118783536,0.1064,0.1393,0.012383536,0.020516464,360.0529641004,404.4947912654,7115055.36729398,2.40E+06,2160237.42710539
