Flight/sample#,,20150817_b926_filter2_430l,,,,,,,,,,,
Total flow (litres),,,430,,,,,,,,,,
Total area (um2/cm3),,,133.4536978361,13.7124637868,,,,,,,,,
Area for d>0.5um (um2/cm3),,,115.7251093576,13.6856566299,,,,,,,,,
Total number (um2/cm3),,,174.1966412185,23.1318474857,,,,,,,,,
Number for d>0.5um (um2/cm3),,,11.0160905371,1.7504297005,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.74,0.0303030303,29420.5562478531,8.56E+01,0.0307716587,0.0012,0.0511,0.0295716587,0.0203283413,88.8380586075,63.1606455929,641285.823394078,4.78E+05,668937.733050126
-15.19,0.0606060606,59242.3349486038,1.72E+02,0.062520357,0.0354,0.0919,0.027120357,0.029379643,90.867044914,96.6279758764,1291317.17385783,7.36E+05,693695.676537135
-15.64,0.0909090909,91452.6248582948,2.66E+02,0.0953101798,0.0669,0.1359,0.0284101798,0.0405898202,107.4925384668,136.6232103634,1993411.38691356,1.04E+06,831101.685874501
-15.94,0.1212121212,124911.957547962,3.63E+02,0.1292117315,0.0989,0.1779,0.0303117315,0.0486882685,128.2906668439,169.5372606432,2722731.2384264,1.30E+06,1001193.40969108
-16.88,0.1515151515,158261.748624733,4.60E+02,0.1643030513,0.1294,0.2217,0.0349030513,0.0573969487,156.0426432742,204.7378394151,3449663.38921633,1.57E+06,1221809.15585042
-16.99,0.1818181818,194384.138164989,5.65E+02,0.2006706955,0.1613,0.2696,0.0393706955,0.0689293045,184.5558868473,247.2827661155,4237030.43027882,1.90E+06,1449829.75231302
-17.16,0.2121212121,231725.708642306,6.74E+02,0.2384110234,0.1914,0.3199,0.0470110234,0.0814889766,219.6918755351,292.837534186,5050972.20516018,2.25E+06,1726075.30617547
-17.47,0.2424242424,270153.030252799,7.86E+02,0.2776317366,0.2217,0.3705,0.0559317366,0.0928682634,257.9965625904,336.2582205862,5888580.31740015,2.59E+06,2025701.62949178
-17.57,0.2727272727,310699.519518763,9.04E+02,0.3184537311,0.2567,0.4186,0.0617537311,0.1001462689,291.5755179327,370.9618986233,6772380.35624409,2.87E+06,2292983.72689726
-17.7,0.303030303,352885.748461538,1.03E+03,0.3610133455,0.2901,0.4731,0.0709133455,0.1120866545,332.1741993654,417.2492693182,7691922.13293746,3.22E+06,2611526.63663224
-17.83,0.3333333333,396946.146073599,1.15E+03,0.4054651081,0.3199,0.5346,0.0855651081,0.1291348919,384.0067477639,476.04255859,8652315.54371069,3.68E+06,3011662.87463066
-17.97,0.3636363636,443023.590567567,1.29E+03,0.4519851237,0.3528,0.5896,0.0991851237,0.1376148763,435.316613504,516.2405749909,9656674.9339029,3.99E+06,3409502.60113226
