Flight/sample#,,20150825_b932_filter4_056l,,,,,,,,,,,
Total flow (litres),,,56,,,,,,,,,,
Total area (um2/cm3),,,644.7986987239,69.7430355917,,,,,,,,,
Area for d>0.5um (um2/cm3),,,601.8452943272,69.7430355917,,,,,,,,,
Total number (um2/cm3),,,292.2321018387,13.1015065808,,,,,,,,,
Number for d>0.5um (um2/cm3),,,46.4431220327,3.97301646,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-15.72,0.0096153846,5691.0831044932,1.27E+02,0.0096619109,0.0004,0.0162,0.0092619109,0.0065380891,213.6927300909,155.5417350421,197143.551247066,2.42E+05,332095.27931623
-18.15,0.0192307692,9853.5826335061,2.20E+02,0.0194180859,0.0112,0.0271,0.0082180859,0.0076819141,212.7743281849,202.5330303145,341335.776900204,3.16E+05,332044.584824618
-18.25,0.0288461538,19353.5359343941,4.32E+02,0.0292703823,0.0212,0.0381,0.0080703823,0.0088296177,242.4910830881,255.3497584583,670421.558293856,4.03E+05,382999.871879214
-18.63,0.0384615385,27842.4487760592,6.22E+02,0.0392207132,0.0306,0.0499,0.0086207132,0.0106792868,290.363507814,322.6963900003,964484.11072986,5.11E+05,462242.190954926
-18.75,0.0480769231,37387.9580553186,8.35E+02,0.049271049,0.041,0.0621,0.008271049,0.012828951,329.6558523457,395.7956208917,1295147.98669563,6.30E+05,530098.825353835
-18.9,0.0576923077,46877.683674907,1.05E+03,0.0594234205,0.0499,0.0737,0.0095234205,0.0142765795,392.0144614684,458.3828151348,1623879.47324322,7.32E+05,632827.591757196
-20.38,0.0673076923,48249.9563763191,1.08E+03,0.0696799206,0.0606,0.0833,0.0090799206,0.0136200794,436.1398439333,491.5654509975,1671416.0684165,7.83E+05,700139.856930241
-20.43,0.0769230769,58221.5880363103,1.30E+03,0.0800427077,0.0702,0.0965,0.0098427077,0.0164572923,495.0358528235,576.0667857171,2016841.15553679,9.20E+05,798127.877458733
-20.54,0.0865384615,67807.0308406981,1.51E+03,0.0905140075,0.0794,0.1091,0.0111140075,0.0185859925,559.6351832925,651.0829276346,2348888.35991528,1.04E+06,904343.112069362
-20.86,0.0961538462,75602.288988895,1.69E+03,0.1010961169,0.0897,0.1203,0.0113961169,0.0192038831,615.3209892802,705.5626870361,2618922.17351569,1.13E+06,995439.146291891
-21.28,0.1057692308,82114.2723938153,1.83E+03,0.111791406,0.0989,0.1326,0.012891406,0.020808594,683.1196799088,774.4460728765,2844502.35052881,1.24E+06,1103201.59788264
