Flight/sample#,,20150811_b920_filter6_171l,,,,,,,,,,,
Total flow (litres),,,171,,,,,,,,,,
Total area (um2/cm3),,,85.7278342787,8.8394926004,,,,,,,,,
Area for d>0.5um (um2/cm3),,,66.657649273,8.8179936997,,,,,,,,,
Total number (um2/cm3),,,178.1165751841,8.5422824307,,,,,,,,,
Number for d>0.5um (um2/cm3),,,7.3416679542,1.8010046663,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.7,0.0106382979,9363.5970742895,6.85E+01,0.0106952891,0.0005,0.0179,0.0101952891,0.0072047109,77.0580580707,56.1575559819,798959.162849807,6.60E+05,902635.849458376
-13.34,0.0212765957,19827.5740831821,1.45E+02,0.0215062052,0.0124,0.0298,0.0091062052,0.0082937948,77.1898520025,72.1242465305,1691809.44728377,8.59E+05,917148.68360123
-13.77,0.0319148936,30474.1145471195,2.23E+02,0.0324352758,0.0234,0.042,0.0090352758,0.0095647242,88.4791040008,91.4082662092,2600237.15821872,1.10E+06,1066349.32524001
-13.86,0.0425531915,41459.0470792978,3.03E+02,0.0434851119,0.0337,0.0564,0.0097851119,0.0129148881,106.5037551309,123.0628947246,3537538.54253065,1.48E+06,1294788.27517973
-14.05,0.0531914894,52488.1885373724,3.84E+02,0.0546584125,0.0452,0.0685,0.0094584125,0.0138415875,120.8868998653,141.697439268,4478612.10180318,1.72E+06,1483814.27263434
-14.35,0.0638297872,63538.9555639573,4.65E+02,0.0659579678,0.0564,0.0813,0.0095579678,0.0153420322,138.5566165555,164.0247827381,5421530.88636423,1.99E+06,1710184.19765043
-14.46,0.0744680851,74869.448403365,5.48E+02,0.0773866636,0.0669,0.0942,0.0104866636,0.0168133364,159.9456674505,186.6123791784,6388317.58188591,2.27E+06,1978603.58382828
-14.56,0.085106383,86337.5400586319,6.32E+02,0.088947486,0.0774,0.1091,0.011547486,0.020152514,182.0946114409,218.526766515,7366845.04688495,2.66E+06,2255837.83368963
-14.58,0.0957446809,98014.6277054659,7.17E+02,0.1006435258,0.0875,0.1203,0.0131435258,0.0196564742,206.3028962982,232.3601061663,8363205.32347729,2.84E+06,2556326.99606804
-15.41,0.1063829787,108928.407779192,7.97E+02,0.1124779834,0.0989,0.1359,0.0135779834,0.0234220166,226.8880956474,266.3960941949,9294435.5464408,3.25E+06,2814781.46398259
-15.79,0.1170212766,120381.507755103,8.81E+02,0.1244541745,0.1091,0.1499,0.0153541745,0.0254458255,252.1137396128,292.561301422,10271683.83,3.57E+06,3125766.34446468
-15.87,0.1276595745,132383.278905468,9.68E+02,0.136575535,0.1203,0.1613,0.016275535,0.024724465,274.8236555121,306.6970153029,11295748.0816901,3.76E+06,3410795.01542838
-16.04,0.1382978723,144387.455908499,1.06E+03,0.1488456276,0.1326,0.1779,0.0162456276,0.0290543724,294.9500449617,343.5724052881,12320017.6153907,4.20E+06,3667568.11570544
-16.1,0.1489361702,156712.149961287,1.15E+03,0.1612681476,0.1427,0.1914,0.0185681476,0.0301318524,322.4801446268,366.231921919,13371635.6169633,4.49E+06,4006392.4367782
-16.12,0.1595744681,169257.848802172,1.24E+03,0.1738469298,0.1536,0.206,0.0202469298,0.0321530702,348.346771158,393.3538745474,14442111.0938291,4.82E+06,4327677.3708628
-16.21,0.170212766,181845.001227017,1.33E+03,0.1865859556,0.1653,0.2217,0.0212859556,0.0351140444,372.5015679188,424.8381436382,15516123.6430908,5.21E+06,4630344.32388897
-16.63,0.1808510638,193970.458493909,1.42E+03,0.1994893604,0.1779,0.2385,0.0215893604,0.0390106396,394.765270583,460.7907617251,16550741.5479692,5.64E+06,4910923.04335317
-16.83,0.1914893617,206628.432936002,1.51E+03,0.212561442,0.1868,0.2505,0.025761442,0.037938558,429.1004218265,475.0066332318,17630797.0633222,5.83E+06,5325289.34925775
-17.03,0.2021276596,219428.480308783,1.61E+03,0.2258066687,0.1961,0.2696,0.0297066687,0.0437933313,463.6105522377,519.9364060749,18722975.1068943,6.36E+06,5742192.2358592
-17.21,0.2127659574,232422.349009604,1.70E+03,0.2392296891,0.2111,0.2831,0.0281296891,0.0438703109,480.1946407592,539.65475943,19831691.1672952,6.62E+06,5962969.30084513
-17.25,0.2234042553,245928.77915157,1.80E+03,0.2528353411,0.2217,0.2973,0.0311353411,0.0444646589,511.9954201981,562.1901186105,20984142.0933335,6.91E+06,6352195.37776651
-17.25,0.2340425532,259722.101283906,1.90E+03,0.2666286633,0.2328,0.3122,0.0338286633,0.0455713367,543.2029407078,587.3306566027,22161072.3922705,7.22E+06,6735800.00665081
-17.4,0.2446808511,273323.207387226,2.00E+03,0.2806149052,0.2444,0.3278,0.0362149052,0.0471850948,573.7493606628,614.9327319937,23321601.6482738,7.57E+06,7111588.33109571
-17.56,0.2553191489,287073.329809429,2.10E+03,0.2947995402,0.2567,0.3442,0.0380995402,0.0494004598,602.934051206,645.3204131671,24494845.8846892,7.94E+06,7472876.00701006
-17.64,0.2659574468,301235.195584557,2.20E+03,0.3091882777,0.2696,0.3615,0.0395882777,0.0523117223,631.1131068691,678.8727468609,25703222.5730833,8.35E+06,7824350.32564019
-17.7,0.2765957447,315659.480018104,2.31E+03,0.3237870771,0.2831,0.3796,0.0406870771,0.0558129229,658.3453213081,715.2056839466,26933990.420557,8.79E+06,8166225.698712
-17.78,0.2872340426,330235.907848025,2.42E+03,0.3386021629,0.2973,0.3987,0.0413021629,0.0600978371,684.3944634265,755.2304496296,28177740.0697503,9.28E+06,8495604.24512917
-17.83,0.2978723404,345121.078209013,2.52E+03,0.3536400402,0.3046,0.4186,0.0490400402,0.0649599598,734.8747236433,798.2157880493,29447833.5131286,9.79E+06,9094066.63725235
-17.99,0.3085106383,359880.905047066,2.63E+03,0.3689075124,0.3199,0.429,0.0490075124,0.0600924876,759.0492814117,800.5405317486,30707231.8833039,9.86E+06,9403276.28771856
-17.99,0.3191489362,375385.091583031,2.75E+03,0.3844116989,0.3359,0.4505,0.0485116989,0.0660883011,782.2954465616,848.3886992934,32030143.5589306,1.04E+07,9704606.03416315
-18,0.329787234,391100.734488216,2.86E+03,0.4001600559,0.3442,0.4731,0.0559600559,0.0729399441,833.2246725634,900.7628311343,33371097.9805652,1.11E+07,10310533.3105633
-18,0.3404255319,407101.075834657,2.98E+03,0.4161603972,0.3615,0.4968,0.0546603972,0.0806396028,854.1272638688,957.9187826681,34736344.6081208,1.17E+07,10587483.8161565
-18.1,0.3510638298,423027.863768141,3.09E+03,0.4324209181,0.3796,0.5091,0.0528209181,0.0766790819,874.2661582641,964.187253799,36095315.2102587,1.18E+07,10856079.849158
-18.1,0.3617021277,439557.165719352,3.22E+03,0.44895022,0.389,0.5217,0.05995022,0.07274978,924.8130788831,972.7077120097,37505695.9800263,1.20E+07,11460011.6808222
-18.1,0.3723404255,456364.284035733,3.34E+03,0.4657573384,0.3987,0.5479,0.0670573384,0.0821426616,976.8036870519,1036.6167985727,38939781.7350451,1.27E+07,12080975.6774417
-18.16,0.3829787234,473252.605004698,3.46E+03,0.4828517717,0.4186,0.5614,0.0642517717,0.0785482283,993.8674638813,1047.3815438702,40380796.19522,1.29E+07,12318311.4265413
-18.23,0.3936170213,490398.160086889,3.59E+03,0.5002435144,0.429,0.5896,0.0712435144,0.0893564856,1046.2796788463,1118.1899895884,41843759.4374847,1.37E+07,12944856.0684309
-18.27,0.4042553191,507954.234012869,3.72E+03,0.5179430915,0.4505,0.6042,0.0674430915,0.0862569085,1061.0264896963,1131.5924181856,43341750.6491467,1.39E+07,13158816.9500597
-18.37,0.414893617,525604.7637448,3.84E+03,0.535961597,0.4617,0.6345,0.074261597,0.098538403,1113.525379387,1210.1242555262,44847801.4057732,1.49E+07,13787687.1286145
-18.37,0.4255319149,543953.902412996,3.98E+03,0.5543107357,0.4731,0.6502,0.0812107357,0.0958892643,1167.7119139515,1225.8242748921,46413461.7340685,1.51E+07,14437421.5933449
-18.37,0.4361702128,562646.035425149,4.12E+03,0.5730028687,0.4968,0.6828,0.0762028687,0.1097971313,1179.2721739598,1313.4004217732,48008388.4299505,1.61E+07,14619576.8883313
-18.56,0.4468085106,580957.318063825,4.25E+03,0.5920510637,0.5091,0.6997,0.0829510637,0.1076489363,1233.347198193,1331.5491364426,49570818.6511177,1.64E+07,15267768.4174127
-18.58,0.4574468085,600294.846713493,4.39E+03,0.6114691495,0.5217,0.717,0.0897691495,0.1055308505,1288.80816263,1351.1971530589,51220814.4357446,1.66E+07,15934436.3835022
-18.77,0.4680851064,619302.39685375,4.53E+03,0.6312717768,0.5479,0.7347,0.0833717768,0.1034282232,1297.1922275534,1372.2873430568,52842654.4431051,1.69E+07,16082623.3407902
-18.77,0.4787234043,639505.10417127,4.68E+03,0.6514744842,0.5614,0.7716,0.0900744842,0.1201255158,1352.831767496,1472.460671708,54566472.5439528,1.81E+07,16753567.4482478
-18.8,0.4893617021,659993.781546651,4.83E+03,0.6720937714,0.5753,0.7907,0.0967937714,0.1186062286,1409.6473566841,1496.1621909383,56314691.3527994,1.84E+07,17438437.4616565
-18.8,0.5,681047.190744483,4.98E+03,0.6931471806,0.5896,0.8102,0.1035471806,0.1170528194,1467.6658184728,1521.0054397925,58111096.5221356,1.87E+07,18138340.0661072
-18.84,0.5106382979,702377.029846421,5.14E+03,0.7146533858,0.6191,0.8509,0.0955533858,0.1362466142,1472.5729796747,1634.986991218,59931088.3754158,2.00E+07,18255046.2845963
-18.89,0.5212765957,724131.859541205,5.30E+03,0.7366322925,0.6345,0.8719,0.1021322925,0.1352677075,1530.6795401239,1662.4925386448,61787343.0159118,2.04E+07,18957688.5043925
-18.94,0.5319148936,746376.548351603,5.46E+03,0.7591051484,0.6502,0.8935,0.1089051484,0.1343948516,1590.6044172162,1691.7007419925,63685395.421286,2.08E+07,19681882.6742137
-18.96,0.5425531915,769273.637877715,5.63E+03,0.7820946666,0.6663,0.9156,0.1157946666,0.1335053334,1652.0891254001,1722.1046909031,65639114.631365,2.12E+07,20425266.7816218
-19.01,0.5531914894,792570.116498404,5.80E+03,0.805625164,0.6828,0.9615,0.122825164,0.155874836,1715.2402061334,1853.347060991,67626912.1528156,2.27E+07,21188273.2290265
-19.01,0.5638297872,816667.668077464,5.97E+03,0.8297227156,0.6997,0.9853,0.1300227156,0.1555772844,1780.1821245386,1886.6796832183,69683062.1007027,2.32E+07,21973438.643704
-19.06,0.5744680851,841121.990396289,6.15E+03,0.8544153282,0.7347,1.0097,0.1197153282,0.1552846718,1779.9162152998,1921.3225537716,71769653.9022182,2.36E+07,22041806.7419167
-19.06,0.585106383,866439.798380579,6.34E+03,0.8797331361,0.7529,1.0347,0.1268331361,0.1549668639,1845.6475641764,1957.1969375974,73929923.562674,2.41E+07,22838880.483899
-19.2,0.5957446809,891724.678623702,6.52E+03,0.9057086225,0.7716,1.0866,0.1341086225,0.1808913775,1913.2551655429,2109.2769163341,76087383.6275964,2.58E+07,23656597.0223128
-19.3,0.6063829787,917877.776447734,6.71E+03,0.9323768696,0.7907,1.1135,0.1416768696,0.1811231304,1983.295388758,2148.2024568903,78318925.3073202,2.63E+07,24503734.710583
-19.32,0.6170212766,945171.465505266,6.91E+03,0.9597758438,0.8102,1.1411,0.1495758438,0.1813241562,2055.9873603286,2188.4237707092,80647789.1816923,2.68E+07,25383495.6271656
-19.4,0.6276595745,972913.500954367,7.12E+03,0.9879467208,0.8303,1.1693,0.1576467208,0.1813532792,2130.7830181307,2229.4042671536,83014908.7023542,2.74E+07,26287844.6249694
-19.5,0.6382978723,1001347.23468845,7.32E+03,1.0169342577,0.8509,1.1983,0.1660342577,0.1813657423,2208.3166034372,2271.9258057005,85441048.135805,2.79E+07,27224489.8124131
-19.58,0.6489361702,1030742.5020402,7.54E+03,1.0467872208,0.8935,1.2583,0.1532872208,0.2115127792,2204.8844303909,2449.0880596145,87949231.4769684,3.00E+07,27271516.2177502
-19.6,0.6595744681,1061397.65201987,7.76E+03,1.0775588795,0.9156,1.2895,0.1619588795,0.2119411205,2285.3458740924,2494.5453583479,90564915.681497,3.06E+07,28246417.8005123
-19.62,0.670212766,1093028.99561981,8.00E+03,1.1093075778,0.9383,1.3214,0.1710075778,0.2120924222,2369.0486950568,2540.5835082044,93263894.6744968,3.12E+07,29259961.6448393
-19.65,0.6808510638,1125641.18661823,8.23E+03,1.1420974006,0.9615,1.3541,0.1805974006,0.2120025994,2456.7523079236,2587.5376970463,96046565.5446848,3.18E+07,30320547.5800012
-19.67,0.6914893617,1159423.24153522,8.48E+03,1.1759989523,0.9853,1.3877,0.1906989523,0.2117010477,2548.4921611814,2635.7180552962,98929056.3333939,3.24E+07,31429137.732801
-19.72,0.7021276596,1194212.0093551,8.74E+03,1.2110902721,1.0097,1.4572,0.2013902721,0.2461097279,2644.7380829834,2839.9668082251,101897446.001747,3.48E+07,32590477.8458171
-19.75,0.7127659574,1230395.47798934,9.00E+03,1.2474579163,1.0347,1.4933,0.2127579163,0.2458420837,2746.0230256108,2890.0633382837,104984840.042697,3.54E+07,33811591.31865
-19.85,0.7234042553,1267507.24921665,9.27E+03,1.2851982442,1.0866,1.5303,0.1985982442,0.2451017558,2746.5222157276,2940.6493660597,108151442.517835,3.61E+07,33923037.0562143
-19.91,0.7340425532,1306339.7677374,9.56E+03,1.3244189574,1.1135,1.607,0.2109189574,0.2825810426,2854.8231835022,3168.9571551512,111464869.638047,3.87E+07,35228571.2720441
-20.22,0.7446808511,1345016.18249013,9.84E+03,1.3652409519,1.1411,1.6468,0.2241409519,0.2815590481,2969.6731461905,3220.6512131755,114764977.033497,3.94E+07,36606169.5898218
-20.26,0.7553191489,1387281.0062399,1.01E+04,1.4078005663,1.1693,1.6875,0.2385005663,0.2796994337,3092.348829164,3271.8415962628,118371269.351844,4.01E+07,38080694.1350729
-20.27,0.7659574468,1431658.40220137,1.05E+04,1.4522523289,1.1983,1.7293,0.2539523289,0.2770476711,3223.0339404894,3323.2714106036,122157819.205019,4.08E+07,39650008.1054502
-20.37,0.7765957447,1477419.76590462,1.08E+04,1.4987723445,1.2583,1.816,0.2404723445,0.3172276555,3237.7295821946,3573.9781978116,126062457.61963,4.37E+07,39941791.2355256
