Flight/sample#,,20150824_b929_filter1_248l,,,,,,,,,,,
Total flow (litres),,,248,,,,,,,,,,
Total area (um2/cm3),,,510.7465440652,52.7689125554,,,,,,,,,
Area for d>0.5um (um2/cm3),,,468.3587687579,51.9301027422,,,,,,,,,
Total number (um2/cm3),,,331.2879161988,55.3070520897,,,,,,,,,
Number for d>0.5um (um2/cm3),,,53.152746389,8.0922265528,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-7.71,0.007751938,7563.154336303,3.81E+01,0.0077821404,0.0004,0.013,0.0073821404,0.0052178596,38.4839307641,28.0588474999,74687.1130650524,5.55E+04,75742.4847181743
-10.85,0.015503876,14943.3762608081,7.54E+01,0.0156253179,0.009,0.0217,0.0066253179,0.0060746821,38.7093399274,36.3389281938,147567.745247171,7.28E+04,77308.0312035276
-11.94,0.023255814,22518.920439416,1.14E+02,0.0235304974,0.017,0.0298,0.0065304974,0.0062695026,44.166756192,43.1939597654,222377.209584185,8.76E+04,89475.0079900042
-12.31,0.0310077519,30342.2080269774,1.53E+02,0.0314986671,0.0251,0.039,0.0063986671,0.0075013329,50.9215457278,54.615981459,299633.171661807,1.11E+05,104395.820451198
-12.72,0.0387596899,38189.4766355821,1.93E+02,0.0395308388,0.0329,0.0487,0.0066308388,0.0091691612,59.683257488,67.6928809232,377125.949378833,1.38E+05,123179.705290175
-12.83,0.0465116279,46232.2325079942,2.33E+02,0.047628049,0.04,0.0577,0.007628049,0.010071951,70.9040962207,78.2802521395,456549.188742621,1.60E+05,146619.142911023
-13.04,0.0542635659,54285.370720522,2.74E+02,0.0557913596,0.0487,0.0669,0.0070913596,0.0111086404,78.4001901413,89.4792366689,536074.955038376,1.84E+05,163187.597359846
-13.1,0.0620155039,62482.8238463612,3.15E+02,0.0640218588,0.0564,0.0756,0.0076218588,0.0115781412,88.8097067715,99.093439062,617025.849497354,2.04E+05,185199.857308328
-13.32,0.0697674419,70654.1319428332,3.56E+02,0.0723206616,0.0637,0.0854,0.0086206616,0.0130793384,100.3452645639,111.9395273831,697718.558458905,2.31E+05,209275.054215417
-13.6,0.0775193798,78844.7269963597,3.98E+02,0.0806889113,0.072,0.0942,0.0086889113,0.0135110887,110.0065526042,121.7568176289,778601.72857967,2.52E+05,229915.7884382
-13.68,0.0852713178,87229.4431985253,4.40E+02,0.0891277799,0.0794,0.1039,0.0097277799,0.0147722201,121.7745856125,134.0634093021,861401.869785783,2.77E+05,254493.443847601
-13.71,0.0930232558,95719.418223857,4.83E+02,0.0976384696,0.0875,0.1145,0.0101384696,0.0168615304,132.371231177,148.794682639,945241.455286874,3.07E+05,276961.323051867
-13.77,0.1007751938,104261.052049273,5.26E+02,0.1062222133,0.0965,0.1232,0.0097222133,0.0169777867,141.5915417489,158.0387999418,1029591.17802319,3.27E+05,296932.738011837
-13.87,0.1085271318,112846.86831127,5.69E+02,0.114880276,0.1039,0.1326,0.010980276,0.017719724,153.9615866891,169.1880434485,1114377.2079522,3.51E+05,322683.326353677
-14.03,0.1162790698,121459.377433575,6.13E+02,0.123613956,0.1118,0.1427,0.011813956,0.019086044,165.6644209403,182.1015808298,1199426.83327902,3.77E+05,347223.627120353
-14.19,0.1240310078,130141.615693633,6.56E+02,0.1324245856,0.1203,0.1536,0.0121245856,0.0211754144,176.5258886638,197.0493581435,1285165.04272875,4.08E+05,370251.1106658
-14.24,0.1317829457,138988.892674125,7.01E+02,0.1413135331,0.1263,0.1653,0.0150135331,0.0239864669,192.2516769746,214.1561736453,1372533.0305785,4.43E+05,402238.521540448
-14.29,0.1395348837,147915.131620854,7.46E+02,0.150282203,0.1359,0.1736,0.014382203,0.023317797,201.4400028282,221.6927714354,1460680.77790926,4.60E+05,422289.776702535
-14.32,0.1472868217,156939.137666654,7.92E+02,0.1593320386,0.1427,0.1823,0.0166320386,0.0229679614,216.1818256942,230.4717696624,1549793.98780468,4.79E+05,452540.547852086
-14.38,0.1550387597,166019.113652772,8.37E+02,0.1684645221,0.1499,0.1961,0.0185645221,0.0276354779,230.5341208049,252.6001151515,1639459.90799462,5.23E+05,482102.925668792
-14.4,0.1627906977,175218.011429844,8.84E+02,0.1776811772,0.1574,0.206,0.0202811772,0.0283188228,244.6039442524,264.1367630805,1730300.19602792,5.47E+05,511192.503752527
-14.46,0.1705426357,184466.354687711,9.30E+02,0.1869835699,0.1694,0.2163,0.0175835699,0.0293164301,250.0743655077,276.6503484149,1821628.76448634,5.73E+05,524551.394690354
-14.46,0.1782945736,193856.09503755,9.78E+02,0.1963733102,0.1779,0.2271,0.0184733102,0.0307266898,262.6444033014,290.3760759989,1914353.64725037,6.02E+05,550961.100040075
-14.58,0.1860465116,203223.156129927,1.02E+03,0.2058520542,0.1823,0.2385,0.0235520542,0.0326479458,283.502109507,305.5772794949,2006854.56945628,6.33E+05,592535.293897045
-14.58,0.1937984496,212792.607146078,1.07E+03,0.2154215052,0.1914,0.2505,0.0240215052,0.0350784948,295.3734573274,322.2870003764,2101354.11795592,6.67E+05,617726.237517812
-14.69,0.2015503876,222347.794481508,1.12E+03,0.2250834161,0.201,0.2567,0.0240834161,0.0316165839,306.5560369315,323.4975288165,2195712.8107904,6.73E+05,641651.9422877
-14.69,0.2093023256,232103.969426872,1.17E+03,0.2348395911,0.2111,0.2696,0.0237395911,0.0347604089,317.1353876354,342.0170902111,2292056.28189072,7.10E+05,664549.862641485
-14.74,0.2170542636,241906.333303454,1.22E+03,0.2446918875,0.2163,0.2831,0.0283918875,0.0384081125,337.8347297234,362.1504955426,2388855.87457402,7.51E+05,705999.256975296
-14.78,0.2248062016,251816.06268554,1.27E+03,0.2546422184,0.2271,0.2901,0.0275422184,0.0354577816,347.4085484111,365.2102449976,2486715.71530891,7.60E+05,727101.697431836
-14.85,0.2325581395,261793.916771581,1.32E+03,0.2646925542,0.2385,0.3046,0.0261925542,0.0399074458,356.3840327341,387.3902627793,2585248.29617846,8.04E+05,747145.820011885
-14.89,0.2403100775,271904.038494377,1.37E+03,0.2748449257,0.2444,0.3122,0.0304449257,0.0373550743,376.4329078678,391.9438842213,2685087.03681972,8.16E+05,787505.651604585
-15.03,0.2480620155,282007.755752486,1.42E+03,0.2851014259,0.2505,0.3278,0.0346014259,0.0426985741,396.9383534862,416.5122238549,2784862.53255587,8.65E+05,828723.65899428
-15.03,0.2558139535,292370.542788033,1.47E+03,0.2954642129,0.2631,0.3359,0.0323642129,0.0404357871,403.9265538856,422.0245943625,2887196.37536507,8.78E+05,845241.437496719
-15.07,0.2635658915,302796.750171911,1.53E+03,0.3059355128,0.2696,0.3528,0.0363355128,0.0468644872,424.1986044155,449.6988987774,2990156.50219755,9.33E+05,886141.986892693
