Flight/sample#,,20150824_b929_filter2_098l,,,,,,,,,,,
Total flow (litres),,,98,,,,,,,,,,
Total area (um2/cm3),,,510.7465440652,52.7689125554,,,,,,,,,
Area for d>0.5um (um2/cm3),,,468.3587687579,51.9301027422,,,,,,,,,
Total number (um2/cm3),,,331.2879161988,55.3070520897,,,,,,,,,
Number for d>0.5um (um2/cm3),,,53.152746389,8.0922265528,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-9.21,0.0078740157,7528.4027804228,9.61E+01,0.0079051795,0.0004,0.013,0.0075051795,0.0050948205,99.0068791599,69.6756977966,188135.677360094,1.38E+05,194819.477910648
-9.6,0.0157480315,15439.4811552086,1.97E+02,0.0158733492,0.0092,0.0217,0.0066733492,0.0058266508,98.8889845469,89.7487434055,385834.463158263,1.80E+05,197677.654741926
-13.05,0.0236220472,22394.0739685765,2.86E+02,0.0239055209,0.0174,0.0306,0.0065055209,0.0066944791,112.3362925834,114.1305418676,559630.561463347,2.31E+05,227418.157795357
-13.05,0.031496063,30491.2842011959,3.89E+02,0.0320027311,0.0251,0.04,0.0069027311,0.0079972689,134.2462852472,143.8015990133,761980.804439505,2.92E+05,274379.881964751
-13.67,0.0393700787,38274.5601004961,4.89E+02,0.0401660417,0.0329,0.0499,0.0072660417,0.0097339583,157.3607565826,177.756082244,956485.791234741,3.62E+05,323559.860548323
-14.01,0.0472440945,46257.4950046467,5.90E+02,0.0483965409,0.041,0.0592,0.0073965409,0.0108034591,179.9336232484,206.1006705715,1155980.28021446,4.21E+05,371989.466249266
-14.1,0.0551181102,54485.5071609049,6.95E+02,0.0566953437,0.0487,0.0685,0.0079953437,0.0118046563,206.432386036,234.3111406749,1361599.27875824,4.80E+05,427959.774991313
-14.64,0.062992126,62377.0091946945,7.96E+02,0.0650635933,0.0577,0.0774,0.0073635933,0.0123364067,226.3639776844,259.2296772505,1558808.84947573,5.32E+05,471556.832269564
-14.65,0.0708661417,70806.1411720739,9.04E+02,0.073502462,0.0653,0.0875,0.008202462,0.013997538,255.1115651507,293.3264096106,1769453.85617566,6.03E+05,531892.098977715
-15.04,0.0787401575,78908.26953318,1.01E+03,0.0820131517,0.0737,0.0965,0.0083131517,0.0144868483,280.4255520832,318.7000713483,1971927.00376535,6.56E+05,585631.112093254
