,,,,,,,,,,Filter,b919_02,b919_04,b920_02,b920_04,b920_06,b920_08,b921_02,b921_04,b921_06,b922_02,b922_04,b924_02,b924_04,b924_06,b924_08,b924_10,b925_02,b926_02,b927_02,b928_02,b928_04,b928_06,b928_09,b929_01,b930_04,b930_06,b931_02,b932_02,b932_04,b932_06
,,,,,,uncertainties,using a correction factor of 1,233.15,-40,n_inp (/m3),5756.180199838,1938729.55731473,67150.7573182027,699250.888082217,1881888.02668785,8391481.70066036,2189110.35192511,406878.138799757,731785.973291639,12941270.0184865,3727813.97122526,4748251.23046868,26903669.9232083,35064118.4112305,30392613.8571747,5724821.63345677,2458783.79171163,1816063.68284031,11892872.0176245,424445.534038225,3776032.70186727,21691993.5531632,2273336.23753351,12310771.5641937,13998286.114343,1561785.83199222,591966.970784806,550441.034839481,5059419.46126032,5218651.20839069
,,,,,,,,243.15,-30,n_inp (/m3),57.8601778853,19487.7910633938,674.9883826903,7028.7550712916,18916.4293340588,84349.7957091363,22004.5776844282,4089.8722192974,7355.7924037544,130083.520552777,37471.3737253065,47728.6414429254,270431.270995928,352458.758800071,305501.562342394,57544.9667268323,24715.2908058527,18254.7738417051,119545.196053111,4266.4567906955,37956.0604855347,218044.356170046,22851.2024520102,123745.853652981,140708.472727761,15698.8146514817,5950.3547565772,5532.9428693126,50856.4533877912,52457.0247552767
,,,,,,,,253.15,-20,n_inp (/m3),0.5816010043,195.888074795,6.7848723523,70.6518914659,190.1448405409,847.8702915616,221.1864005139,41.1107237649,73.9392170142,1307.5781816802,376.6560938126,479.7604640988,2718.3307162636,3542.8575502157,3070.8515243947,578.4325534685,248.4340435613,183.4939882123,1201.6486747859,42.8857228716,381.528085514,2191.7460532657,229.696533615,1243.8729949992,1414.3784557377,157.8019062621,59.8119886354,55.6162329068,511.2007160087,527.2893964922
,,,,,,,,263.15,-10,n_inp (/m3),0.0058461578,1.9690347522,0.0682004224,0.7101812081,1.9113047048,8.5226529035,2.2233293669,0.4132382426,0.7432248645,13.1435611055,3.7860851872,4.8224733819,27.3242138595,35.6122221614,30.8676951194,5.8143090168,2.4972181993,1.8444514296,12.0787751017,0.4310802421,3.8350576476,22.0310713214,2.308871827,12.5032070329,14.2170999178,1.5861988419,0.6012202853,0.5590452379,5.1385056299,5.3002264034
,,,,,,,,273.15,0,n_inp (/m3),5.87646175780961E-005,0.0197924139,0.0006855394,0.0071386249,0.019212121,0.0856683071,0.0223485416,0.0041538029,0.0074707743,0.1321169173,0.0380571064,0.0484747103,0.2746585096,0.3579682077,0.3102770012,0.0584444792,0.0251016272,0.0185401228,0.1214138633,0.0043331478,0.0385493695,0.2214527102,0.0232084004,0.1256801834,0.1429079531,0.0159442102,0.0060433676,0.0056194309,0.0516514146,0.0532770052
,,,,,,,using a correction factor of 3,233.15,-40,n_inp (/m3),17268.5405995139,5816188.67194419,201452.271954608,2097752.66424665,5645664.08006354,25174445.1019811,6567331.05577533,1220634.41639927,2195357.91987492,38823810.0554594,11183441.9136758,14244753.691406,80711009.7696248,105192355.233692,91177841.5715242,17174464.9003703,7376351.3751349,5448191.04852092,35678616.0528736,1273336.60211467,11328098.1056018,65075980.6594895,6820008.71260054,36932314.6925812,41994858.3430291,4685357.49597666,1775900.91235442,1651323.10451844,15178258.383781,15655953.6251721
,,,,,,,,243.15,-30,n_inp (/m3),173.5805336559,58463.3731901814,2024.965148071,21086.2652138748,56749.2880021765,253049.387127409,66013.7330532846,12269.6166578921,22067.3772112631,390250.561658331,112414.121175919,143185.924328776,811293.812987783,1057376.27640021,916504.687027183,172634.900180497,74145.872417558,54764.3215251152,358635.588159332,12799.3703720865,113868.181456604,654133.068510139,68553.6073560305,371237.560958943,422125.418183283,47096.443954445,17851.0642697315,16598.8286079378,152569.360163374,157371.07426583
,,,,,,,,253.15,-20,n_inp (/m3),1.7448030128,587.6642243849,20.354617057,211.9556743977,570.4345216228,2543.6108746849,663.5592015417,123.3321712948,221.8176510425,3922.7345450406,1129.9682814377,1439.2813922964,8154.9921487907,10628.5726506472,9212.5545731841,1735.2976604056,745.3021306839,550.4819646368,3604.9460243577,128.6571686149,1144.5842565419,6575.2381597971,689.0896008449,3731.6189849977,4243.1353672131,473.4057187864,179.4359659062,166.8486987203,1533.6021480261,1581.8681894767
,,,,,,,,263.15,-10,n_inp (/m3),0.0175384733,5.9071042565,0.2046012673,2.1305436242,5.7339141144,25.5679587106,6.6699881007,1.2397147279,2.2296745935,39.4306833165,11.3582555617,14.4674201457,81.9726415784,106.8366664842,92.6030853581,17.4429270504,7.4916545978,5.5333542889,36.2363253051,1.2932407263,11.5051729427,66.0932139641,6.926615481,37.5096210988,42.6512997535,4.7585965258,1.803660856,1.6771357137,15.4155168896,15.9006792103
,,,,,,,,273.15,0,n_inp (/m3),0.0001762939,0.0593772417,0.0020566183,0.0214158746,0.0576363629,0.2570049213,0.0670456248,0.0124614088,0.0224123228,0.396350752,0.1141713193,0.145424131,0.8239755287,1.073904623,0.9308310035,0.1753334376,0.0753048815,0.0556203684,0.36424159,0.0129994434,0.1156481086,0.6643581306,0.0696252011,0.3770405501,0.4287238594,0.0478326307,0.0181301027,0.0168582927,0.1549542437,0.1598310156
