Flight/sample#,,20150824_b928_filter4_132l,,,,,,,,,,,
Total flow (litres),,,132,,,,,,,,,,
Total area (um2/cm3),,,211.6328404588,19.3132838668,,,,,,,,,
Area for d>0.5um (um2/cm3),,,170.4209890117,19.2066781382,,,,,,,,,
Total number (um2/cm3),,,294.3811872498,9.9526922542,,,,,,,,,
Number for d>0.5um (um2/cm3),,,19.0449409512,3.1438977449,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-15.22,0.0169491525,13780.6415630411,1.31E+02,0.0170944334,0.0007,0.0284,0.0163944334,0.0113055666,160.462070363,114.4134563398,617038.513342863,5.44E+05,760297.801742659
-16.93,0.0338983051,28334.6031314457,2.68E+02,0.0344861761,0.0197,0.0487,0.0147861761,0.0142138239,161.8566566966,157.1850568698,1268703.00721536,7.52E+05,773513.41754935
-17.23,0.0508474576,45328.9816307337,4.30E+02,0.0521857532,0.0372,0.0702,0.0149857532,0.0180142468,187.616701567,210.1764916034,2029638.99095867,1.01E+06,905662.419295936
-17.42,0.0677966102,62859.6121852767,5.96E+02,0.0702042587,0.055,0.0919,0.0152042587,0.0216957413,219.0133889354,263.5829198745,2814586.06079241,1.27E+06,1066273.50634375
-18.33,0.0847457627,78345.3536816429,7.42E+02,0.0885533973,0.072,0.1145,0.0165533973,0.0259466027,260.5686757708,322.0918764971,3507971.69652046,1.56E+06,1272168.04298119
-18.54,0.1016949153,96231.7611874154,9.12E+02,0.1072455304,0.0897,0.1359,0.0175455304,0.0286544696,301.8918468391,370.4381264561,4308848.9449358,1.79E+06,1479692.86050567
-18.81,0.1186440678,114149.882950031,1.08E+03,0.1262937253,0.1064,0.1613,0.0198937253,0.0350062747,351.5556292705,445.0756345153,5111146.22287625,2.15E+06,1725400.94685625
-19.19,0.1355932203,131778.364600301,1.25E+03,0.1457118112,0.1232,0.1823,0.0225118112,0.0365881888,403.3848654639,487.2586557729,5900474.64856777,2.36E+06,1980659.53278743
-19.38,0.1525423729,150589.595364074,1.43E+03,0.1655144385,0.1393,0.206,0.0262144385,0.0404855615,461.4582218019,546.2765183992,6742761.54874796,2.65E+06,2265627.50780533
-19.54,0.1694915254,169902.930675867,1.61E+03,0.1857171458,0.1574,0.2328,0.0283171458,0.0470828542,512.2627681854,624.0729711517,7607530.55489073,3.03E+06,2518120.44376049
-19.6,0.186440678,190175.205547418,1.80E+03,0.206336433,0.1779,0.2567,0.028436433,0.050363567,554.6609917933,680.2953106821,8515236.79567761,3.31E+06,2733641.37703203
-19.66,0.2033898305,210873.987900345,2.00E+03,0.2273898422,0.1961,0.2831,0.0312898422,0.0557101578,611.0342491159,751.0913587747,9442040.22733435,3.65E+06,3013072.8264574
-19.69,0.2203389831,232199.972184195,2.20E+03,0.2488960474,0.2111,0.3046,0.0377960474,0.0557039526,685.764202898,787.7970478956,10396927.0936593,3.84E+06,3376402.71264785
-19.97,0.2372881356,252399.051658876,2.39E+03,0.2708749541,0.2271,0.3359,0.0437749541,0.0650250459,759.6929012099,885.8555565164,11301355.9559104,4.31E+06,3734893.58503095
-19.99,0.2542372881,274737.744789103,2.60E+03,0.29334781,0.2505,0.3615,0.04284781,0.06815219,799.9507550145,944.5294887878,12301587.6168271,4.60E+06,3943085.12351508
-20.09,0.2711864407,297041.693811322,2.81E+03,0.3163373282,0.2696,0.389,0.0467373282,0.0726626718,865.2099999945,1013.1866952778,13300263.5843709,4.94E+06,4264631.70021192
-20.2,0.2881355932,319788.859554698,3.03E+03,0.3398678256,0.2831,0.4186,0.0567678256,0.0787321744,962.8378841224,1092.8411075661,14318784.9114694,5.33E+06,4733503.47960808
-20.23,0.3050847458,343667.309534999,3.26E+03,0.3639653772,0.3046,0.4505,0.0593653772,0.0865346228,1023.6100136048,1184.7885499968,15387960.3347887,5.77E+06,5036459.29571656
-20.31,0.3220338983,367763.891677626,3.48E+03,0.3886579898,0.3278,0.4731,0.0608579898,0.0844420102,1080.0402623999,1214.16327613,16466902.7885136,5.93E+06,5320019.18450469
-20.31,0.3389830508,393081.699661915,3.72E+03,0.4139757978,0.3442,0.5091,0.0697757978,0.0951242022,1176.1287146458,1326.1286590543,17600526.5409536,6.47E+06,5784857.97639148
-20.4,0.3559322034,418365.706283214,3.96E+03,0.4399512842,0.3705,0.5346,0.0694512842,0.0946487158,1225.4285097108,1368.5641878185,18732636.8121328,6.69E+06,6037433.06259947
-20.42,0.3728813559,444877.209742891,4.22E+03,0.4666195313,0.389,0.5753,0.0776195313,0.1086804687,1320.2333929636,1504.2035277922,19919709.1705864,7.34E+06,6497783.12008806
-20.5,0.3898305085,471637.744556248,4.47E+03,0.4940185054,0.4085,0.6042,0.0855185054,0.1101814946,1415.6386861591,1561.2278222171,21117932.0938049,7.62E+06,6961211.3472907
-20.51,0.406779661,499727.509584174,4.74E+03,0.5221893824,0.429,0.6345,0.0931893824,0.1123106176,1511.6774254388,1624.1952033625,22375672.2921616,7.94E+06,7429065.19458403
