Flight/sample#,,20150821_b931_filter2_108l,,,,,,,,,,,
Total flow (litres),,,108,,,,,,,,,,
Total area (um2/cm3),,,97.6260799798,8.3982070679,,,,,,,,,
Area for d>0.5um (um2/cm3),,,77.8202618488,8.3211023522,,,,,,,,,
Total number (um2/cm3),,,182.1135344017,32.3580751717,,,,,,,,,
Number for d>0.5um (um2/cm3),,,9.1396921247,0.7139664351,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-8.84,0.0096153846,9332.3370581292,1.08E+02,0.0096619109,0.0004,0.0162,0.0092619109,0.0065380891,110.8003460705,80.6467475491,1107135.14305008,8.32E+05,1138935.27504026
-11.45,0.0192307692,18570.830712817,2.15E+02,0.0194180859,0.0112,0.0271,0.0082180859,0.0076819141,110.3140718853,105.0030937593,2203137.24094262,1.09E+06,1145748.81809389
-12.7,0.0288461538,27938.6902576548,3.24E+02,0.0292703823,0.0212,0.0381,0.0080703823,0.0088296177,125.7094813779,132.3782842449,3314486.56883822,1.39E+06,1318852.77659314
-13.77,0.0384615385,37259.5519472469,4.32E+02,0.0392207132,0.0306,0.0499,0.0086207132,0.0106792868,150.5189141823,167.2881152606,4420260.33973598,1.76E+06,1587988.04981762
-15.49,0.0480769231,45617.2439716772,5.28E+02,0.049271049,0.041,0.0621,0.008271049,0.012828951,170.8771386401,205.181114386,5411769.16516743,2.15E+06,1811176.36914529
-15.63,0.0576923077,55579.7955190736,6.44E+02,0.0594234205,0.0499,0.0737,0.0095234205,0.0142765795,203.1988391711,237.6218960036,6593669.35414126,2.50E+06,2157302.83496011
-15.63,0.0673076923,65836.2956862626,7.63E+02,0.0696799206,0.0606,0.0833,0.0090799206,0.0136200794,226.0626457503,254.8113168631,7810441.92772749,2.70E+06,2411103.73702784
-15.8,0.0769230769,75955.280872006,8.80E+02,0.0800427077,0.0702,0.0965,0.0098427077,0.0164572923,256.5876700838,298.6174403444,9010900.50968374,3.16E+06,2740194.88846941
-15.87,0.0865384615,86321.7514405487,1.00E+03,0.0905140075,0.0794,0.1091,0.0111140075,0.0185859925,290.0708202773,337.5036781399,10240719.3433092,3.57E+06,3099089.93823355
-16.06,0.0961538462,96605.5721792005,1.12E+03,0.1010961169,0.0897,0.1203,0.0113961169,0.0192038831,318.9300834217,365.7380987791,11460733.0733824,3.87E+06,3412379.01988957
-16.1,0.1057692308,107235.408353281,1.24E+03,0.111791406,0.0989,0.1326,0.012891406,0.020808594,354.0722578967,401.4429564528,12721796.0975622,4.26E+06,3788337.27760577
-16.1,0.1153846154,118046.324457497,1.37E+03,0.1226023221,0.1091,0.1463,0.0135023221,0.0236976779,385.2661263811,446.4349603409,14004341.4099518,4.73E+06,4126132.05273241
-16.34,0.125,128562.148976301,1.49E+03,0.1335313926,0.1174,0.1574,0.0161313926,0.0238686074,426.5777482557,472.7396599578,15251878.742819,5.02E+06,4562237.21077188
