Flight/sample#,,20150823_b924_filter6_062l,,,,,,,,,,,
Total flow (litres),,,62,,,,,,,,,,
Total area (um2/cm3),,,1673.0651546342,228.4051616488,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1542.7056390491,228.3583478697,,,,,,,,,
Total number (um2/cm3),,,873.0507870639,155.5193816708,,,,,,,,,
Number for d>0.5um (um2/cm3),,,210.0042795146,18.6952016612,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-10.33,0.0227272727,22424.5173221018,4.52E+02,0.0229895182,0.0009,0.0381,0.0220895182,0.0151104818,460.261550399,325.8373382533,270407.284890717,1.98E+05,277566.599613779
-10.73,0.0454545455,45867.0447599488,9.25E+02,0.0465200156,0.0264,0.0669,0.0201200156,0.0203799844,467.9386819014,472.4955241548,553090.301180059,2.92E+05,289702.516472714
-14.9,0.0681818182,67666.0217083654,1.37E+03,0.0706175672,0.0499,0.0989,0.0207175672,0.0282824328,547.350107124,671.1675275767,815954.472807374,4.16E+05,345598.409660203
-15.02,0.0909090909,92227.6812327063,1.86E+03,0.0953101798,0.0737,0.1294,0.0216101798,0.0340898202,646.2054119834,836.9634872476,1112132.60538377,5.23E+05,415009.851874023
-15.47,0.1136363636,117000.523576248,2.36E+03,0.1206279878,0.0965,0.1574,0.0241279878,0.0367720122,775.482400803,956.4451454811,1410857.29768921,6.03E+05,501935.910112206
-15.69,0.1363636364,142675.508332639,2.88E+03,0.1466034742,0.1203,0.1914,0.0263034742,0.0447965258,905.4680444925,1164.0643041937,1720460.52427655,7.34E+05,589972.293787139
-15.79,0.1590909091,169199.054555734,3.41E+03,0.1732717213,0.1427,0.2217,0.0305717213,0.0484282787,1064.1052847081,1306.3272396641,2040296.17633723,8.29E+05,694339.486475018
-15.96,0.1818181818,196339.698731939,3.96E+03,0.2006706955,0.1653,0.2567,0.0353706955,0.0560293045,1231.9572620994,1512.0362151022,2367573.13826494,9.60E+05,804162.850062064
-16.18,0.2045454545,224151.792930889,4.52E+03,0.2288415724,0.1914,0.2901,0.0374415724,0.0612584276,1371.9039750491,1684.9074739162,2702946.81750353,1.07E+06,899196.51093932
-16.18,0.2272727273,253139.329804141,5.11E+03,0.2578291093,0.2163,0.3278,0.0415291093,0.0699708907,1538.4453617699,1912.4804258936,3052494.63737299,1.22E+06,1009557.72764461
-16.26,0.25,282854.582733326,5.71E+03,0.2876820725,0.2385,0.3705,0.0491820725,0.0828179275,1748.4909770634,2205.5304038425,3410817.66163279,1.40E+06,1144123.74786137
-16.26,0.2727272727,313626.24140008,6.33E+03,0.3184537311,0.2631,0.4085,0.0553537311,0.0900462689,1946.0047918462,2416.6228672107,3781879.41302485,1.53E+06,1272577.22323589
-16.28,0.2954545455,345339.884909566,6.97E+03,0.3502024294,0.2901,0.4505,0.0601024294,0.1002975706,2131.1392043204,2676.92693034,4164300.14084762,1.70E+06,1394900.89958644
-16.52,0.3181818182,377688.656770655,7.62E+03,0.3829922523,0.3122,0.4848,0.0707922523,0.1018077477,2390.2660017361,2809.3173534179,4554379.59909687,1.79E+06,1558106.62766561
-16.55,0.3409090909,411532.335633258,8.30E+03,0.4168938039,0.3359,0.5217,0.0809938039,0.1048061961,2650.0488396271,2970.447255871,4962485.47627131,1.90E+06,1722748.61877775
-16.55,0.3636363636,446623.655444529,9.01E+03,0.4519851237,0.3705,0.5753,0.0814851237,0.1233148763,2796.2213042728,3362.3934328218,5385636.10096926,2.14E+06,1825891.24822267
-16.63,0.3863636364,482833.865991521,9.74E+03,0.4883527679,0.3987,0.6191,0.0896527679,0.1307472321,3040.4350156092,3595.9309214372,5822278.93161261,2.29E+06,1983509.8403486
-16.73,0.4090909091,520370.885219176,1.05E+04,0.5260930959,0.429,0.6663,0.0970930959,0.1402069041,3281.5564855363,3864.2983384317,6274921.1582632,2.46E+06,2140314.77909972
-16.96,0.4318181818,559095.110170613,1.13E+04,0.5653138091,0.4505,0.717,0.1148138091,0.1516861909,3656.374110822,4167.5717568545,6741879.3709287,2.66E+06,2371339.19106585
-17.02,0.4545454545,599780.647384651,1.21E+04,0.6061358036,0.4848,0.7716,0.1213358036,0.1654641964,3897.8957083893,4510.5267652304,7232488.17620832,2.87E+06,2530383.25990835
-17.2,0.4772727273,641912.659879095,1.30E+04,0.648695418,0.5217,0.8303,0.126995418,0.181604582,4135.5935934442,4895.140615344,7740539.38382006,3.11E+06,2688271.41892898
-17.25,0.5,686240.618589902,1.38E+04,0.6931471806,0.5479,0.8935,0.1452471806,0.2003528194,4540.8593939278,5326.4349605661,8275070.53058072,3.38E+06,2939821.19119368
-17.27,0.5227272727,732710.482241498,1.48E+04,0.7396671962,0.5896,0.9383,0.1500671962,0.1986328038,4782.0581240645,5455.3553214548,8835429.9567738,3.48E+06,3102352.03848673
-17.27,0.5454545455,781500.64641093,1.58E+04,0.7884573604,0.6191,1.0097,0.1693573604,0.2212426396,5219.5092206241,5957.5257096494,9423768.85535179,3.79E+06,3374588.71448791
-17.51,0.5681818182,832162.940842401,1.68E+04,0.8397506548,0.6663,1.0866,0.1734506548,0.2468493452,5468.6392173177,6516.3165370924,10034682.9404477,4.13E+06,3544103.30001766
-17.67,0.5909090909,885778.009933442,1.79E+04,0.893817876,0.717,1.1411,0.176817876,0.247282124,5721.3152693808,6700.5076710082,10681203.2224181,4.26E+06,3717578.41112976
-17.69,0.6136363636,942878.042304936,1.90E+04,0.9509762899,0.7529,1.2279,0.1980762899,0.2769237101,6214.3437092052,7339.0743806169,11369747.1272419,4.65E+06,4025624.48404065
-17.85,0.6363636364,1003020.08922139,2.02E+04,1.0116009117,0.7907,1.2895,0.2209009117,0.2778990883,6744.6410951856,7553.9431532006,12094973.3330438,4.81E+06,4356361.43616645
-17.95,0.6590909091,1067242.50466315,2.15E+04,1.0761394328,0.8509,1.3877,0.2252394328,0.3115605672,7046.4505569571,8277.2368149956,12869402.8888414,5.25E+06,4563462.23227045
-17.97,0.6818181818,1136170.77112751,2.29E+04,1.1451323043,0.8935,1.4933,0.2516323043,0.3481676957,7655.9332778002,9065.3508215821,13700578.2099923,5.73E+06,4943486.71258915
-18.11,0.7045454545,1209813.17999479,2.44E+04,1.2192402765,0.9383,1.607,0.2809402765,0.3877597235,8327.9392853052,9921.0943646878,14588599.2785655,6.26E+06,5361305.04214045
