Flight/sample#,,20150825_b932_filter2_156l,,,,,,,,,,,
Total flow (litres),,,156,,,,,,,,,,
Total area (um2/cm3),,,132.4913402568,17.0639888423,,,,,,,,,
Area for d>0.5um (um2/cm3),,,109.222875391,17.0490872459,,,,,,,,,
Total number (um2/cm3),,,220.9019194222,29.212970134,,,,,,,,,
Number for d>0.5um (um2/cm3),,,8.0982989123,0.6736098931,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-11.88,0.0078740157,6915.3230203689,5.54E+01,0.0079051795,0.0004,0.013,0.0075051795,0.0050948205,62.1961197765,43.7699067676,418504.571938066,3.35E+05,472519.65658318
-14.35,0.0157480315,13454.33692845,1.08E+02,0.0158733492,0.0092,0.0217,0.0066733492,0.0058266508,62.1205109361,56.3783551532,814235.502863201,4.38E+05,480449.163855324
-14.86,0.0236220472,20996.378209917,1.68E+02,0.0239055209,0.0174,0.0306,0.0065055209,0.0066944791,70.5661320907,71.6933531992,1270668.08724755,5.65E+05,557185.084360472
-15.37,0.031496063,28504.1497959973,2.29E+02,0.0320027311,0.0251,0.04,0.0069027311,0.0079972689,84.3280517108,90.3311577094,1725026.72307506,7.17E+05,674141.482712137
-15.54,0.0393700787,36445.5447693626,2.92E+02,0.0401660417,0.0329,0.0499,0.0072660417,0.0097339583,98.8465659666,111.6599628902,2205627.57051632,8.89E+05,798312.03522786
-15.82,0.0472440945,44279.4332203351,3.55E+02,0.0483965409,0.041,0.0592,0.0073965409,0.0108034591,113.0247269825,129.4643332386,2679722.29076699,1.04E+06,920243.223242525
-16.2,0.0551181102,51971.5093559313,4.17E+02,0.0566953437,0.0487,0.0685,0.0079953437,0.0118046563,129.6693260518,147.1843969155,3145234.75069992,1.18E+06,1059220.60122064
-16.22,0.062992126,60305.456914779,4.84E+02,0.0650635933,0.0577,0.0774,0.0073635933,0.0123364067,142.1879302514,162.8362434755,3649592.26883706,1.32E+06,1171609.87918315
-16.38,0.0708661417,68460.7880178958,5.49E+02,0.073502462,0.0653,0.0875,0.008202462,0.013997538,160.2453151826,184.2543016171,4143140.19743996,1.49E+06,1321958.45802368
-16.47,0.0787401575,76804.625993909,6.16E+02,0.0820131517,0.0737,0.0965,0.0083131517,0.0144868483,176.1454273405,200.1919997921,4648096.26821014,1.63E+06,1458049.32105503
-16.64,0.0866141732,85057.9919277688,6.82E+02,0.0905968954,0.0813,0.1064,0.0092968954,0.0158031046,194.9280460947,220.2181792372,5147577.11198625,1.79E+06,1613726.59527244
-16.88,0.094488189,93213.6554287979,7.47E+02,0.0992549581,0.0897,0.1174,0.0095549581,0.0181450419,211.6752146117,245.1614751626,5641145.15679279,1.99E+06,1755094.90076273
-17.22,0.1023622047,101156.626972217,8.11E+02,0.1079886381,0.0965,0.1263,0.0114886381,0.0183113619,233.6156231326,260.0917760601,6121841.41579671,2.12E+06,1931505.60353331
-17.27,0.1102362205,109842.553792911,8.81E+02,0.1167992677,0.1039,0.1359,0.0128992677,0.0191007323,254.1962796672,278.1620104958,6647500.17031515,2.27E+06,2100946.82158745
-17.31,0.1181102362,118630.10206356,9.51E+02,0.1256882152,0.1118,0.1463,0.0138882152,0.0206117848,273.5654318517,299.585043238,7179308.89661193,2.44E+06,2262362.99566186
-17.57,0.125984252,126902.673546486,1.02E+03,0.1346568851,0.1203,0.1574,0.0143568851,0.0227431149,291.4063387811,323.9142933432,7679952.03028642,2.64E+06,2411616.17739044
-17.92,0.1338582677,134905.827821387,1.08E+03,0.1437067207,0.1294,0.1653,0.0143067207,0.0215932793,307.866471756,334.0651048864,8164290.45440722,2.73E+06,2550513.10388959
-18.05,0.1417322835,143614.525481736,1.15E+03,0.1528392042,0.1359,0.1779,0.0169392042,0.0250607958,332.8269137929,364.2854220069,8691327.26465417,2.97E+06,2750180.65179285
-18.36,0.1496062992,151736.425542302,1.22E+03,0.1620558593,0.1463,0.1868,0.0157558593,0.0247441407,346.0595336016,378.3659238411,9182851.99866282,3.09E+06,2867226.61540276
-18.38,0.157480315,160963.883660711,1.29E+03,0.171358252,0.1536,0.1961,0.017758252,0.024741748,369.229051222,394.2227567781,9741283.38336411,3.23E+06,3056206.14248368
-18.48,0.1653543307,169970.709779223,1.36E+03,0.1807479923,0.1613,0.2111,0.0194479923,0.0303520077,391.71318539,433.9937076398,10286362.4632778,3.53E+06,3239774.29579532
-18.58,0.1732283465,179052.433468883,1.44E+03,0.1902267363,0.1694,0.2217,0.0208267363,0.0314732637,413.4091998997,454.6485220422,10835974.2274724,3.70E+06,3418158.25129127
-18.84,0.1811023622,187519.831382731,1.50E+03,0.1997961873,0.1779,0.2328,0.0218961873,0.0330038127,434.276436664,477.285297536,11348407.9531172,3.89E+06,3588880.07351279
-18.9,0.188976378,196912.361433062,1.58E+03,0.2094580982,0.1868,0.2385,0.0226580982,0.0290419018,454.3201390411,477.1012197022,11916829.2338803,3.91E+06,3756867.47472809
-18.9,0.1968503937,206668.536378426,1.66E+03,0.2192142732,0.1961,0.2505,0.0231142732,0.0312857268,473.5807722787,502.8497355204,12507257.7369649,4.12E+06,3920634.49740838
-18.95,0.2047244094,216291.838861014,1.73E+03,0.2290665696,0.206,0.2631,0.0230665696,0.0340334304,491.5211783747,530.8979345461,13089645.0056787,4.35E+06,4074923.4996679
-18.98,0.2125984252,226102.771902412,1.81E+03,0.2390169005,0.2111,0.2762,0.0279169005,0.0371830995,525.2616663274,560.9653058882,13683387.3833969,4.59E+06,4338553.25752002
-19.16,0.2204724409,235284.190287055,1.89E+03,0.2490672363,0.2217,0.2831,0.0273672363,0.0340327637,541.6032492009,565.3724862895,14239032.5151617,4.64E+06,4480355.25008411
-19.21,0.2283464567,245184.983517762,1.97E+03,0.2592196078,0.2328,0.2973,0.0264196078,0.0380803922,557.1827094702,599.0051650609,14838213.0914934,4.91E+06,4619283.01449658
-19.32,0.2362204724,254871.729646581,2.04E+03,0.269476108,0.2385,0.3122,0.030976108,0.042723892,590.5066528684,635.8946782136,15424439.8708027,5.19E+06,4879630.72334977
-19.35,0.2440944882,265075.153763462,2.13E+03,0.279838895,0.2505,0.3199,0.029338895,0.040061105,604.0264758597,642.4082202085,16041935.1967275,5.27E+06,5005308.59642166
-19.42,0.2519685039,275167.811341862,2.21E+03,0.2903101949,0.2567,0.3359,0.0336101949,0.0455898051,636.9698252349,683.175630601,16652727.1043686,5.58E+06,5264345.2573296
-19.45,0.2598425197,285584.687043025,2.29E+03,0.3008923042,0.2696,0.3442,0.0312923042,0.0433076958,648.6797479099,691.6737491036,17283140.1875184,5.68E+06,5378274.36516678
-19.52,0.2677165354,295887.385209804,2.37E+03,0.3115875933,0.2762,0.3615,0.0353875933,0.0499124067,681.3457887994,737.486633947,17906643.4242283,6.03E+06,5636028.81113971
-19.58,0.2755905512,306353.790646228,2.46E+03,0.3223985094,0.2901,0.3705,0.0322985094,0.0481014906,691.2878701237,748.0404563353,18540053.969766,6.13E+06,5738046.88169262
-19.58,0.2834645669,317282.861178418,2.54E+03,0.3333275799,0.2973,0.3796,0.0360275799,0.0462724201,722.8999053345,759.4677651607,19201464.2858543,6.24E+06,5990491.98577198
-19.74,0.2913385827,327376.591923938,2.62E+03,0.3443774161,0.3046,0.3987,0.0397774161,0.0543225839,755.285861348,811.4504904662,19812321.1398971,6.63E+06,6245676.13715986
-19.83,0.2992125984,337987.258703184,2.71E+03,0.3555507167,0.3122,0.4085,0.0433507167,0.0529492833,787.6949154886,824.5545383074,20454462.1570767,6.76E+06,6502777.22668796
-19.87,0.3070866142,349030.813830219,2.80E+03,0.366850272,0.3278,0.4186,0.039050272,0.051749728,793.6897191149,839.0935893187,21122800.9024255,6.89E+06,6579293.27156457
-19.9,0.3149606299,360265.063796591,2.89E+03,0.3782789678,0.3359,0.429,0.0423789678,0.0507210322,825.2438084956,854.9612481415,21802680.2022605,7.04E+06,6832372.18097305
-19.9,0.3228346457,371825.886197667,2.98E+03,0.3898397902,0.3442,0.4505,0.0456397902,0.0606602098,857.0746689192,915.0019690008,22502323.1568938,7.49E+06,7088445.81968283
-19.92,0.3307086614,383391.11803981,3.07E+03,0.40153583,0.3528,0.4617,0.04873583,0.06016417,888.7885418846,932.7155220535,23202232.9640285,7.65E+06,7343762.99090281
