Flight/sample#,,20150811_b920_filter4_060l,,,,,,,,,,,
Total flow (litres),,,60,,,,,,,,,,
Total area (um2/cm3),,,47.7949672301,8.2014719593,,,,,,,,,
Area for d>0.5um (um2/cm3),,,34.4254515257,8.1871294229,,,,,,,,,
Total number (um2/cm3),,,124.0598681316,11.0283005559,,,,,,,,,
Number for d>0.5um (um2/cm3),,,3.9520197083,0.8157296271,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-14.45,0.0104166667,7963.1745564998,1.66E+02,0.0104712999,0.0005,0.0174,0.0099712999,0.0069287001,214.8115940648,154.2612542071,3473382.76150049,3.28E+06,4533787.56137928
-14.6,0.0208333333,18405.4213865059,3.84E+02,0.0210534092,0.0121,0.0291,0.0089534092,0.0080465908,216.0871836717,199.9845009621,8028088.91208613,4.41E+06,4726348.71618959
-15.46,0.03125,28134.3332172021,5.87E+02,0.0317486983,0.0228,0.041,0.0089486983,0.0092513017,248.5156912689,253.2856050011,12271652.1293857,5.70E+06,5609844.56920747
-15.85,0.0416666667,38397.5809148891,8.00E+02,0.0425596144,0.0337,0.055,0.0088596144,0.0124403856,287.323555281,340.1507308428,16748282.3196731,7.68E+06,6663241.05493742
-16.13,0.0520833333,48882.972287878,1.02E+03,0.053488685,0.0441,0.0669,0.009388685,0.013411315,338.8570359029,393.2995446436,21321807.2856427,9.01E+06,7978211.21722464
-16.2,0.0625,59814.6868169572,1.25E+03,0.0645385211,0.055,0.0794,0.0095385211,0.0148614789,388.5037629036,455.3922056421,26090009.7819645,1.05E+07,9279900.38303467
-16.5,0.0729166667,70446.4606571777,1.47E+03,0.0757118217,0.0653,0.0919,0.0104118217,0.0161881783,447.678503006,516.9080631476,30727383.9496138,1.20E+07,10748752.733582
-16.62,0.0833333333,81512.4043419568,1.70E+03,0.087011377,0.0756,0.1064,0.011411377,0.019388623,508.9890574819,604.8574629329,35554134.6081277,1.40E+07,12273234.9764206
-17.35,0.09375,91279.0826006854,1.90E+03,0.0984400728,0.0854,0.1174,0.0130400728,0.0189599272,577.1134514856,644.507520125,39814170.8110639,1.51E+07,13873582.2989406
-17.7,0.1041666667,101873.298138536,2.12E+03,0.1100008952,0.0965,0.1326,0.0135008952,0.0225991048,634.681748308,738.6242077047,44435162.7734659,1.72E+07,15312688.3421457
-17.88,0.1145833333,113022.478619526,2.36E+03,0.121696935,0.1064,0.1463,0.015296935,0.024603065,705.5306795149,811.8803000248,49298219.7129775,1.90E+07,17013730.2942988
-18.28,0.125,123506.333670264,2.57E+03,0.1335313926,0.1174,0.1574,0.0161313926,0.0238686074,768.0821776381,851.1499718411,53871074.5648884,2.01E+07,18539417.5999119
-18.39,0.1354166667,135075.544258215,2.82E+03,0.1455075837,0.1294,0.1736,0.0161075837,0.0280924163,824.0079844435,953.5269182344,58917340.5151383,2.24E+07,19986167.026359
-18.44,0.1458333333,147006.491580133,3.06E+03,0.1576289442,0.1393,0.1868,0.0183289442,0.0291710558,900.2790683332,1017.0178767883,64121389.0340161,2.40E+07,21814490.8028402
-18.5,0.15625,159043.495016401,3.32E+03,0.1698990368,0.1499,0.201,0.0199990368,0.0311009632,972.522215931,1091.9505151234,69371697.1792181,2.58E+07,23574082.5269175
-18.65,0.1666666667,170860.669177056,3.56E+03,0.1823215568,0.1613,0.2163,0.0210215568,0.0339784432,1039.7329941811,1179.3042249824,74526120.0451296,2.78E+07,25234545.9884614
-18.66,0.1770833333,183397.915047459,3.82E+03,0.194900339,0.1736,0.2271,0.021300339,0.032199661,1101.3949290622,1210.9898233326,79994624.2671559,2.88E+07,26822740.100552
-18.66,0.1875,196136.940824889,4.09E+03,0.2076393648,0.1823,0.2444,0.0253393648,0.0367606352,1196.6963178389,1319.2164859544,85551140.982907,3.13E+07,29024461.5978348
-19.01,0.1979166667,207487.722125921,4.33E+03,0.2205427696,0.1961,0.2567,0.0244427696,0.0361572304,1249.1766912315,1367.1022739474,90502132.3018637,3.25E+07,30401910.7744468
-19.17,0.2083333333,219781.852884601,4.58E+03,0.2336148512,0.206,0.2762,0.0276148512,0.0425851488,1338.2753071728,1499.2385489435,95864594.4131554,3.54E+07,32474974.5035285
-19.19,0.21875,232926.631350433,4.86E+03,0.2468600779,0.2163,0.2901,0.0305600779,0.0432399221,1426.7593346681,1562.7974551814,101598092.605745,3.71E+07,34569692.6360962
-19.31,0.2291666667,245731.457740886,5.12E+03,0.2602830983,0.2271,0.3046,0.0331830983,0.0443169017,1513.3944784629,1632.5968474928,107183310.276542,3.88E+07,36618385.7065696
-19.31,0.2395833333,259337.109796665,5.41E+03,0.2738887503,0.2385,0.3199,0.0353887503,0.0460112497,1597.0164526423,1710.629764749,113117832.617377,4.07E+07,38642766.7242086
-19.39,0.25,272703.138998523,5.69E+03,0.2876820725,0.2505,0.3359,0.0371820725,0.0482179275,1677.5508512189,1795.4881965286,118947836.102803,4.28E+07,40602283.8958381
