Flight/sample#,,20150811_b921_filter6_107l,,,,,,,,,,,
Total flow (litres),,,107,,,,,,,,,,
Total area (um2/cm3),,,92.5156721838,9.7046629476,,,,,,,,,
Area for d>0.5um (um2/cm3),,,80.8668911666,9.6657960525,,,,,,,,,
Total number (um2/cm3),,,102.1308326507,43.1954819132,,,,,,,,,
Number for d>0.5um (um2/cm3),,,9.6528766998,0.8459546449,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-15.39,0.0098039216,6328.3102131288,7.40E+01,0.0098522964,0.0004,0.0162,0.0094522964,0.0063477036,114.1287886747,79.5110075909,799628.935421538,8.64E+05,1236464.10151026
-16.83,0.0196078431,13869.6182485093,1.62E+02,0.0198026273,0.0115,0.0277,0.0083026273,0.0078973727,112.7622959959,108.7113827796,1752529.14304833,1.19E+06,1232631.17519504
-16.92,0.0294117647,23723.6041193388,2.77E+02,0.0298529631,0.0217,0.0381,0.0081529631,0.0082470369,128.7330170157,129.5493164104,2997653.34938121,1.44E+06,1426559.61173313
-17.3,0.0392156863,32972.7090250611,3.85E+02,0.0400053346,0.0313,0.0511,0.0087053346,0.0110946654,154.2860171674,173.9806025769,4166346.35909196,1.93E+06,1723989.92004994
-18.33,0.0490196078,40053.7911210862,4.68E+02,0.0502618348,0.041,0.0621,0.0092618348,0.0118381652,181.5213755221,200.9446844304,5061093.60557335,2.24E+06,2032617.35291382
-18.48,0.0588235294,49847.3392491337,5.83E+02,0.0606246218,0.0511,0.0737,0.0095246218,0.0130753782,208.0388242079,232.9087481442,6298581.05481113,2.60E+06,2343742.00226071
-18.48,0.068627451,60318.639116429,7.05E+02,0.0710959217,0.0606,0.0854,0.0104959217,0.0143040783,239.848512515,265.3931322937,7621707.46349982,2.98E+06,2712995.56056424
-18.64,0.0784313725,70258.5297422016,8.21E+02,0.081678031,0.072,0.0989,0.009678031,0.017221969,262.4059164383,310.7876248782,8877686.37281491,3.49E+06,2985305.12946483
-18.66,0.0882352941,80870.8961776593,9.45E+02,0.0923733201,0.0813,0.1118,0.0110733201,0.0194266799,297.4147595089,351.1020956135,10218637.5887466,3.94E+06,3388747.23663827
-18.69,0.0980392157,91556.2978769346,1.07E+03,0.1031842362,0.0919,0.1232,0.0112842362,0.0200157638,326.9015009533,379.7532519412,11568817.3519979,4.28E+06,3736054.20841777
-18.74,0.1078431373,102273.126776804,1.20E+03,0.1141133068,0.1013,0.1359,0.0128133068,0.0217866932,363.1187510561,417.4738323684,12922968.1751543,4.71E+06,4152444.44200683
-18.84,0.1176470588,112886.787019519,1.32E+03,0.125163143,0.1118,0.1499,0.013363143,0.024736857,395.0171745183,463.9583365564,14264082.8732297,5.23E+06,4524315.39232529
-18.86,0.1274509804,123970.942888263,1.45E+03,0.1363364436,0.1203,0.1613,0.0160364436,0.0249635564,437.4129946715,491.2720264982,15664648.1835368,5.56E+06,5005389.08110052
