Flight/sample#,,20150825_b932_filter6_095l,,,,,,,,,,,
Total flow (litres),,,95,,,,,,,,,,
Total area (um2/cm3),,,418.9980654566,45.5125837643,,,,,,,,,
Area for d>0.5um (um2/cm3),,,353.7487391565,45.4384125691,,,,,,,,,
Total number (um2/cm3),,,506.2908260458,18.995155162,,,,,,,,,
Number for d>0.5um (um2/cm3),,,29.4235943023,4.0727376175,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-14.42,0.0103092784,7881.7349552928,1.04E+02,0.010362787,0.0005,0.0174,0.009862787,0.007037213,134.1956299437,98.6411567426,247677.200781234,2.37E+05,321405.397092256
-15.48,0.0206185567,17193.4761019172,2.26E+02,0.0208340869,0.0121,0.0291,0.0087340869,0.0082659131,133.6116416056,128.3444393859,540291.199434744,3.12E+05,324239.181308319
-15.48,0.0309278351,27775.5854324541,3.66E+02,0.0314161962,0.0228,0.041,0.0086161962,0.0095838038,152.9441095593,162.6188009375,872825.499587572,4.00E+05,377134.9069001
-16.5,0.0412371134,36846.1242716082,4.85E+02,0.0421114854,0.0329,0.0537,0.0092114854,0.0115885146,183.3444846605,205.393698694,1157859.90914362,5.06E+05,455294.186371912
-16.59,0.0515463918,47482.7858705262,6.25E+02,0.0529224015,0.0431,0.0669,0.0098224015,0.0139775985,215.8327690686,252.4443194247,1492108.47058607,6.24E+05,540012.648730877
-17.1,0.0618556701,57309.7036243266,7.55E+02,0.063851472,0.0537,0.0794,0.010151472,0.015548528,247.6461412983,292.1893084713,1800911.48101136,7.24E+05,622574.909735523
-17.25,0.0721649485,67994.7462030748,8.95E+02,0.0749013082,0.0637,0.0919,0.0112013082,0.0169986918,285.5864125097,331.5144059308,2136680.37594934,8.25E+05,720025.201939953
-17.3,0.0824742268,79041.983182605,1.04E+03,0.0860746088,0.0756,0.1039,0.0104746088,0.0178253912,313.0547903506,366.1518562116,2483830.93949621,9.15E+05,794371.695692864
-17.36,0.0927835052,90187.2210846201,1.19E+03,0.097374164,0.0854,0.1174,0.011974164,0.020025836,354.8766126462,413.0430801484,2834061.1034474,1.03E+06,901175.023580792
-17.54,0.1030927835,101132.348835042,1.33E+03,0.1088028598,0.0965,0.1294,0.0123028598,0.0205971402,390.4365423277,446.93161946,3178002.96634868,1.12E+06,993719.694986028
-17.62,0.1134020619,112467.935110734,1.48E+03,0.1203636822,0.1064,0.1427,0.0139636822,0.0223363178,433.8744982891,490.8525621001,3534214.67530653,1.23E+06,1104375.604456
-17.71,0.1237113402,123902.669050608,1.63E+03,0.132059722,0.1174,0.1574,0.014659722,0.025340278,472.4137851823,545.195961525,3893542.02010696,1.37E+06,1204195.76945326
-17.8,0.1340206186,135467.173088074,1.78E+03,0.1438941797,0.1263,0.1694,0.0175941797,0.0255058203,523.8301300745,577.5056806902,4256947.28616446,1.45E+06,1332968.96213864
-17.82,0.1443298969,147382.171446637,1.94E+03,0.1558703707,0.1393,0.1868,0.0165703707,0.0309296293,553.7202107024,651.8050229066,4631366.55520879,1.63E+06,1414048.05998184
