Flight/sample#,,20150811_b920_filter2_306l,,,,,,,,,,,
Total flow (litres),,,306,,,,,,,,,,
Total area (um2/cm3),,,66.7406754445,6.4394550609,,,,,,,,,
Area for d>0.5um (um2/cm3),,,34.6444417162,6.412481295,,,,,,,,,
Total number (um2/cm3),,,305.6895132258,7.8625423417,,,,,,,,,
Number for d>0.5um (um2/cm3),,,2.7589751828,0.1251643207,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-11.21,0.0107526882,10034.1193305567,4.10E+01,0.0108109161,0.0005,0.0179,0.0103109161,0.0070890839,43.5486518141,30.9801041399,614563.926850099,4.68E+05,655194.115581366
-12.9,0.0215053763,20308.371969631,8.30E+01,0.0217399866,0.0127,0.0306,0.0090399866,0.0088600134,43.0224634564,42.3922536742,1243835.39944371,6.46E+05,655697.59312186
-13.21,0.0322580645,31188.3087569097,1.27E+02,0.0327898228,0.0234,0.0431,0.0093898228,0.0103101772,50.7694015156,53.6701696709,1910203.46380476,8.25E+05,782705.394406964
-13.49,0.0430107527,42190.8854976654,1.72E+02,0.0439631234,0.0346,0.0564,0.0093631234,0.0124368766,58.7365439191,67.5990502035,2584082.90897708,1.04E+06,914706.489310078
-14.36,0.0537634409,52834.8995079331,2.16E+02,0.0552626787,0.0452,0.0702,0.0100626787,0.0149373213,69.4883550393,82.8548207764,3236001.31178868,1.28E+06,1086976.60923594
-14.96,0.064516129,63675.0630417695,2.60E+02,0.0666913745,0.0564,0.0833,0.0102913745,0.0166086255,79.611207255,95.7988197416,3899933.36696807,1.48E+06,1250786.22337311
-15.11,0.0752688172,75067.6845714911,3.07E+02,0.0782521969,0.0669,0.0942,0.0113521969,0.0159478031,91.8838893021,102.6595913324,4597702.04937761,1.60E+06,1446434.75249549
-15.3,0.0860215054,86537.1390127187,3.54E+02,0.0899482367,0.0774,0.1091,0.0125482367,0.0191517633,104.598614009,120.1609175558,5300176.54943303,1.87E+06,1648561.46478471
-15.5,0.0967741935,98115.6472223571,4.01E+02,0.1017826943,0.0897,0.1232,0.0120826943,0.0214173057,114.3668190394,135.2956330759,6009330.31150879,2.11E+06,1809033.65379439
-15.57,0.1075268817,109997.790352535,4.50E+02,0.1137588854,0.0989,0.1359,0.0148588854,0.0221411146,130.3105266354,146.5708482695,6737080.92926748,2.29E+06,2057851.21237642
-15.57,0.1182795699,122119.15088488,4.99E+02,0.1258802459,0.1118,0.1499,0.0140802459,0.0240197541,139.9562924605,160.9828418367,7479482.9958682,2.52E+06,2217716.15648541
-15.79,0.1290322581,134077.671762514,5.48E+02,0.1381503385,0.1232,0.1653,0.0149503385,0.0271496615,152.7654100842,178.6588822915,8211911.55364881,2.79E+06,2422194.07551162
-15.91,0.1397849462,146319.497208786,5.98E+02,0.1505728585,0.1326,0.1779,0.0179728585,0.0273271415,169.3630934436,189.1147356308,8961691.78549867,2.96E+06,2680897.28149733
-15.93,0.1505376344,158867.393642909,6.49E+02,0.1631516407,0.1427,0.1914,0.0204516407,0.0282483593,185.2795795957,201.6755460325,9730218.07587073,3.16E+06,2930558.80874688
-16.08,0.1612903226,171367.513691908,7.00E+02,0.1758906665,0.1536,0.206,0.0222906665,0.0301093335,200.1949355563,216.6189249952,10495818.185889,3.40E+06,3165927.61922972
-16.22,0.1720430108,184035.934867289,7.52E+02,0.1887940713,0.1653,0.2217,0.0234940713,0.0329059287,214.083635892,233.8836257673,11271726.3057799,3.67E+06,3387043.18885075
-16.44,0.1827956989,196713.849118241,8.04E+02,0.2018661529,0.1779,0.2385,0.0239661529,0.0366338471,226.8287018398,253.5316868206,12048215.8520629,3.97E+06,3591964.18405038
-16.6,0.1935483871,209652.049879161,8.57E+02,0.2151113796,0.1868,0.2567,0.0283113796,0.0415886204,246.8187060776,276.4542897551,12840647.2756949,4.32E+06,3900184.27869348
-16.68,0.2043010753,222914.762993814,9.11E+02,0.2285343999,0.201,0.2696,0.0275343999,0.0410656001,257.5088971641,286.0437488569,13652954.2439413,4.48E+06,4077026.99275886
-16.7,0.2150537634,236479.608069225,9.67E+02,0.242140052,0.2111,0.2831,0.031040052,0.040959948,276.2593877904,297.0749647266,14483766.0154608,4.67E+06,4368829.20906633
-16.74,0.2258064516,250190.425129729,1.02E+03,0.2559333741,0.2217,0.3046,0.0342333741,0.0486666259,294.7173349936,326.8810102566,15323518.1945451,5.12E+06,4656792.80434495
-17,0.2365591398,263610.275190352,1.08E+03,0.2699196161,0.2328,0.3199,0.0371196161,0.0499803839,312.8152645858,341.4244157246,16145449.3954109,5.35E+06,4939121.10069385
-17.05,0.247311828,277679.74747893,1.14E+03,0.2841042511,0.2505,0.3359,0.0336042511,0.0517957489,319.0151276134,357.3924496479,17007168.2820944,5.60E+06,5053740.97237796
-17.22,0.2580645161,291660.977464118,1.19E+03,0.2984929886,0.2631,0.3528,0.0353929886,0.0543070114,335.3249218464,375.2219392108,17863482.5553088,5.88E+06,5311702.86384383
-17.36,0.2688172043,305904.845036593,1.25E+03,0.313091788,0.2696,0.3705,0.043491788,0.057408212,363.7143745448,394.6526554109,18735882.7032934,6.18E+06,5741666.25818976
