Flight/sample#,,20150815_b927_filter2_134l,,,,,,,,,,,
Total flow (litres),,,134,,,,,,,,,,
Total area (um2/cm3),,,627.9003718677,62.798519444,,,,,,,,,
Area for d>0.5um (um2/cm3),,,577.7932374626,62.167738356,,,,,,,,,
Total number (um2/cm3),,,374.261952781,40.0840404627,,,,,,,,,
Number for d>0.5um (um2/cm3),,,57.5536175436,7.8717122668,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.53,0.0089285714,7716.4090834354,7.20E+01,0.00896867,0.0004,0.015,0.00856867,0.00603133,82.6347227394,60.004885127,114714.821133746,9.63E+04,132103.982433655
-13.67,0.0178571429,16127.0238778397,1.51E+02,0.0180185055,0.0104,0.0251,0.0076185055,0.0070814945,82.4418765198,78.1589279192,239749.945805413,1.27E+05,133469.256682199
-14.31,0.0267857143,24766.7291539262,2.31E+02,0.0271509891,0.0197,0.0346,0.0074509891,0.0074490109,93.7364050062,93.7227048656,368190.809253428,1.54E+05,153760.085629816
-14.55,0.0357142857,33767.1229737288,3.15E+02,0.0363676442,0.0284,0.0463,0.0079676442,0.0099323558,112.3244356374,125.2244139328,501993.794036638,2.06E+05,185800.736107539
-14.65,0.0446428571,42973.7160123357,4.01E+02,0.0456700368,0.0372,0.0564,0.0084700368,0.0107299632,132.0019827247,145.6205331684,638862.208120871,2.41E+05,219722.989529605
-14.77,0.0535714286,52243.8270094087,4.88E+02,0.0550597772,0.0463,0.0669,0.0087597772,0.0118402228,151.4143435765,168.687913046,776674.902266652,2.80E+05,253346.1046465
-14.77,0.0625,61722.5709639524,5.76E+02,0.0645385211,0.0564,0.0774,0.0081385211,0.0128614789,167.5841994049,191.6419733407,917589.206518904,3.19E+05,282233.123170005
-14.86,0.0714285714,71198.8295100845,6.65E+02,0.0741079722,0.0653,0.0897,0.0088079722,0.0155920278,190.2117151089,224.9532197208,1058466.56182531,3.74E+05,320897.050493703
-15.07,0.0803571429,80631.1204762381,7.53E+02,0.0837698831,0.0737,0.0989,0.0100698831,0.0151301169,215.4711107999,239.8728940351,1198690.27979621,4.00E+05,363499.8586261
-15.1,0.0892857143,90353.0452565739,8.43E+02,0.093526058,0.0833,0.1118,0.010226058,0.018273942,236.5801099907,275.600657444,1343219.79478084,4.59E+05,400012.75854142
-15.16,0.0982142857,100135.716078305,9.35E+02,0.1033783545,0.0919,0.1232,0.0114783545,0.0198216455,262.1657026092,302.4658511661,1488652.38154381,5.04E+05,443278.806396864
-15.21,0.1071428571,110026.859925089,1.03E+03,0.1133286853,0.1013,0.1326,0.0120286853,0.0192713147,285.3233424969,318.0602149728,1635697.56602317,5.32E+05,482959.097450614
-15.31,0.1160714286,119955.56107341,1.12E+03,0.1233790212,0.1091,0.1463,0.0142790212,0.0229209788,315.1382604394,356.8251514123,1783301.09040927,5.96E+05,532640.5347264
-15.41,0.125,129981.816977024,1.21E+03,0.1335313926,0.1203,0.1574,0.0132313926,0.0238686074,332.8261268922,380.9987417205,1932354.89771626,6.37E+05,564194.795658786
-15.51,0.1339285714,140107.555660046,1.31E+03,0.1437878928,0.1294,0.1694,0.0143878928,0.0256121072,358.8781039619,409.7732766342,2082887.65062115,6.85E+05,608332.418794557
-15.79,0.1428571429,150078.013108956,1.40E+03,0.1541506798,0.1359,0.1823,0.0182506798,0.0281493202,395.3715124839,443.1018300401,2231111.9386943,7.40E+05,668041.422953667
-15.93,0.1517857143,160337.732651229,1.50E+03,0.1646219797,0.1463,0.1914,0.0183219797,0.0267780203,417.64495286,455.6945913337,2383636.4976502,7.64E+05,706576.812096753
-15.95,0.1607142857,170888.731932064,1.60E+03,0.175204089,0.1574,0.206,0.017804089,0.030795911,438.2479254432,497.0695912375,2540491.32250409,8.31E+05,742767.399182108
-16.05,0.1696428571,181425.049229576,1.69E+03,0.1858993781,0.1653,0.2163,0.0205993781,0.0304006219,471.2794408797,515.4218202796,2697127.87988765,8.64E+05,797565.68639759
-16.12,0.1785714286,192121.213245244,1.79E+03,0.1967102942,0.1736,0.2271,0.0231102942,0.0303897058,503.8113783642,536.4329408009,2856140.77417659,9.01E+05,851705.710202509
-16.12,0.1875,203050.283777434,1.90E+03,0.2076393648,0.1823,0.2385,0.0253393648,0.0308606352,535.6395084554,560.309835834,3018616.137743,9.42E+05,904911.085609392
-16.17,0.1964285714,214016.356702429,2.00E+03,0.218689201,0.1961,0.2567,0.022589201,0.038010799,548.3251098853,618.1357911191,3181641.59174994,1.03E+06,929436.522515096
-16.22,0.2053571429,225104.365130672,2.10E+03,0.2298625016,0.206,0.2696,0.0238625016,0.0397374984,576.7689101704,648.5658709943,3346479.78135628,1.09E+06,977643.024749151
-16.27,0.2142857143,236317.07139968,2.21E+03,0.2411620568,0.2163,0.2831,0.0248620568,0.0419379432,604.4981226885,681.7694639524,3513171.77243224,1.14E+06,1024843.85488828
-16.36,0.2232142857,247585.424841373,2.31E+03,0.2525907526,0.2217,0.2901,0.0308907526,0.0375092474,651.8700800618,681.4549293344,3680691.03373094,1.15E+06,1101506.92945608
-16.52,0.2321428571,258847.979556137,2.42E+03,0.264151575,0.2328,0.3046,0.031351575,0.040448425,677.8173520111,718.5739929617,3848124.08913835,1.21E+06,1146052.82192785
-16.57,0.2410714286,270447.214216969,2.52E+03,0.2758476148,0.2444,0.3199,0.0314476148,0.0440523852,702.7061143698,759.4197123112,4020562.34571836,1.27E+06,1189184.1765763
-16.67,0.25,282082.72853494,2.63E+03,0.2876820725,0.2567,0.3359,0.0309820725,0.0482179275,725.9404982705,803.7008913693,4193539.94829914,1.35E+06,1229863.45322124
-16.71,0.2589285714,293977.30508687,2.74E+03,0.2996582635,0.2631,0.3442,0.0365582635,0.0445417365,772.9732538241,808.6431313074,4370368.86014952,1.36E+06,1306339.63048039
-16.71,0.2678571429,306098.665619215,2.86E+03,0.311779624,0.2762,0.3615,0.035579624,0.049720376,794.3798685846,857.9869019122,4550569.22152623,1.44E+06,1344508.78845258
-16.79,0.2767857143,318201.943111122,2.97E+03,0.3240497166,0.2831,0.3796,0.0409497166,0.0555502834,841.8091216403,911.8174903446,4730500.75413467,1.53E+06,1421703.60079135
-16.89,0.2857142857,330409.03917753,3.08E+03,0.3364722366,0.2973,0.389,0.0391722366,0.0525277634,860.3425693011,920.2733804969,4911975.68977883,1.55E+06,1455596.03832417
-16.89,0.2946428571,342987.82138439,3.20E+03,0.3490510188,0.3046,0.4085,0.0444510188,0.0594489812,908.2106869275,980.1159604369,5098976.24085613,1.64E+06,1533691.82626966
-16.92,0.3035714286,355660.685575161,3.32E+03,0.3617900446,0.3199,0.4186,0.0418900446,0.0568099554,924.1696695206,991.1626500248,5287375.44742714,1.66E+06,1563955.11434705
-16.92,0.3125,368564.090411068,3.44E+03,0.3746934494,0.3278,0.429,0.0468934494,0.0543065506,971.4446690781,1004.5265264639,5479201.95140876,1.69E+06,1641314.91321666
-17.04,0.3214285714,381364.226871593,3.56E+03,0.387765531,0.3359,0.4505,0.051865531,0.062734469,1019.7469508557,1071.642122367,5669493.2318061,1.80E+06,1720198.96309229
-17.37,0.3303571429,393797.768032843,3.68E+03,0.4010107578,0.3528,0.4617,0.0482107578,0.0606892422,1031.4946425919,1087.3770518541,5854334.57898581,1.83E+06,1743993.02296133
